iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f0ce9bc2730>,9,18,[3 9],15,27,45,12,27
1,<environment.Job instance at 0x7f0ce9bc2eb0>,16,28,[4 7],28,46,74,18,46
1,<environment.Job instance at 0x7f0ce9bc6e60>,28,2,[5 5],47,74,76,27,48
1,<environment.Job instance at 0x7f0ce9bc4230>,31,1,[5 8],54,76,77,22,54
1,<environment.Job instance at 0x7f0ce9bc4050>,32,14,[8 4],55,77,91,22,62
1,<environment.Job instance at 0x7f0ce9bc4640>,38,1,[2 6],62,77,78,15,71
1,<environment.Job instance at 0x7f0ce9bc6a50>,27,17,[1 6],44,78,95,34,71
1,<environment.Job instance at 0x7f0ce9bc4aa0>,41,13,[6 5],67,95,108,28,79
1,<environment.Job instance at 0x7f0ce9bca0f0>,45,17,[7 5],76,108,125,32,99
1,<environment.Job instance at 0x7f0ce9bcaa50>,55,23,[1 5],91,109,132,18,109
1,<environment.Job instance at 0x7f0ce9bca8c0>,54,13,[6 3],90,125,138,35,114
1,<environment.Job instance at 0x7f0ce9bce460>,65,2,[4 6],102,132,134,30,119
1,<environment.Job instance at 0x7f0ce9bce7d0>,66,12,[5 5],103,138,150,35,123
1,<environment.Job instance at 0x7f0ce9bce640>,68,14,[5 1],106,138,152,32,133
1,<environment.Job instance at 0x7f0ce9bc6c80>,0,15,[2 6],2,2,17,0,2
1,<environment.Job instance at 0x7f0ceae8e280>,3,12,[7 5],5,17,29,12,5
1,<environment.Job instance at 0x7f0ceae93d70>,14,18,[9 1],18,29,47,11,18
1,<environment.Job instance at 0x7f0ceae937d0>,15,14,[4 7],19,47,61,28,32
1,<environment.Job instance at 0x7f0ceae8e910>,13,1,[8 1],17,61,62,44,34
1,<environment.Job instance at 0x7f0cead49690>,22,2,[4 9],32,62,64,30,35
1,<environment.Job instance at 0x7f0ceae9d230>,27,3,[6 4],37,64,67,27,47
1,<environment.Job instance at 0x7f0ceae93cd0>,17,13,[5 7],24,67,80,43,60
1,<environment.Job instance at 0x7f0ceae9d9b0>,36,18,[6 5],46,80,98,34,71
1,<environment.Job instance at 0x7f0ceae8ffa0>,47,15,[1 5],63,82,97,19,82
1,<environment.Job instance at 0x7f0ceae8fa50>,49,1,[2 9],65,98,99,33,82
1,<environment.Job instance at 0x7f0ceae8f550>,50,14,[8 2],67,99,113,32,85
1,<environment.Job instance at 0x7f0ceae98780>,40,18,[1 6],52,99,117,47,97
1,<environment.Job instance at 0x7f0cead48910>,55,12,[1 7],74,117,129,43,100
1,<environment.Job instance at 0x7f0ceae98e10>,41,17,[8 2],53,113,130,60,103
1,<environment.Job instance at 0x7f0ceae969b0>,61,13,[10  5],82,130,143,48,114
1,<environment.Job instance at 0x7f0ceae9bb40>,0,18,[9 4],2,4,22,2,4
1,<environment.Job instance at 0x7f0cabfbcd20>,7,14,[10  1],13,22,36,9,13
1,<environment.Job instance at 0x7f0cabfbc410>,15,13,[5 2],24,36,49,12,26
1,<environment.Job instance at 0x7f0cabfbcf00>,20,17,[3 6],33,36,53,3,33
1,<environment.Job instance at 0x7f0cabf6d6e0>,23,13,[4 6],38,53,66,15,38
1,<environment.Job instance at 0x7f0cabf6d320>,29,2,[1 8],48,66,68,18,49
1,<environment.Job instance at 0x7f0cabf6d550>,30,28,[6 1],49,52,80,3,52
1,<environment.Job instance at 0x7f0cabf6d0f0>,34,13,[9 5],56,80,93,24,67
1,<environment.Job instance at 0x7f0cabfa0b90>,39,19,[4 9],63,93,112,30,83
1,<environment.Job instance at 0x7f0cabe82550>,1,17,[2 5],4,112,129,108,103
1,<environment.Job instance at 0x7f0cabfa0a00>,47,1,[4 5],72,114,115,42,114
1,<environment.Job instance at 0x7f0cabfa0050>,48,1,[2 9],73,129,130,56,114
1,<environment.Job instance at 0x7f0cabfa0870>,43,24,[10  5],68,130,154,62,125
1,<environment.Job instance at 0x7f0cac1baaf0>,5,17,[5 6],9,9,26,0,9
1,<environment.Job instance at 0x7f0cac321500>,7,13,[4 6],12,26,39,14,12
1,<environment.Job instance at 0x7f0cac3216e0>,12,1,[4 7],21,39,40,18,21
1,<environment.Job instance at 0x7f0cac321f00>,22,13,[5 6],36,40,53,4,36
1,<environment.Job instance at 0x7f0cac3210a0>,19,16,[10  4],32,53,69,21,43
1,<environment.Job instance at 0x7f0cac390910>,33,12,[1 7],52,69,81,17,52
1,<environment.Job instance at 0x7f0cabf8fe60>,39,15,[3 5],59,81,96,22,68
1,<environment.Job instance at 0x7f0cabf96960>,43,12,[9 2],67,96,108,29,86
1,<environment.Job instance at 0x7f0cabf96eb0>,46,16,[6 2],70,108,124,38,95
1,<environment.Job instance at 0x7f0cabf5e2d0>,51,13,[6 4],77,124,137,47,108
1,<environment.Job instance at 0x7f0cabf5e190>,53,3,[3 6],80,111,114,31,111
1,<environment.Job instance at 0x7f0cac27cdc0>,57,13,[7 1],85,137,150,52,132
1,<environment.Job instance at 0x7f0cac27cd70>,58,16,[3 6],86,132,148,46,132
1,<environment.Job instance at 0x7f0cac27c870>,59,16,[3 6],87,148,164,61,135
1,<environment.Job instance at 0x7f0cabf9dd70>,1,14,[2 9],2,2,16,0,2
1,<environment.Job instance at 0x7f0cabf8f280>,3,18,[2 6],4,16,34,12,5
1,<environment.Job instance at 0x7f0cabf8f410>,6,18,[5 1],7,22,40,15,22
1,<environment.Job instance at 0x7f0cac2a80a0>,19,13,[2 5],27,34,47,7,27
1,<environment.Job instance at 0x7f0cac1ba690>,10,18,[8 3],12,40,58,28,36
1,<environment.Job instance at 0x7f0cac2a8dc0>,32,13,[6 5],43,58,71,15,44
1,<environment.Job instance at 0x7f0cabdc2690>,40,12,[9 4],53,71,83,18,55
1,<environment.Job instance at 0x7f0cabdc2230>,41,17,[5 5],54,83,100,29,71
1,<environment.Job instance at 0x7f0cac2a8e60>,33,16,[4 5],44,83,99,39,76
1,<environment.Job instance at 0x7f0cac2a8780>,26,13,[ 2 10],36,100,113,64,88
1,<environment.Job instance at 0x7f0cabdc2f00>,53,18,[1 5],72,113,131,41,104
1,<environment.Job instance at 0x7f0cabdc5f00>,65,16,[5 5],89,115,131,26,115
1,<environment.Job instance at 0x7f0cabdc5140>,55,1,[8 1],76,131,132,55,116
1,<environment.Job instance at 0x7f0cabdc5e60>,66,15,[3 8],91,132,147,41,119
1,<environment.Job instance at 0x7f0cabdc62d0>,73,2,[10  5],102,147,149,45,128
1,<environment.Job instance at 0x7f0cabdc6730>,0,14,[6 4],1,1,15,0,1
1,<environment.Job instance at 0x7f0cac27ca00>,8,13,[3 6],10,12,25,2,12
1,<environment.Job instance at 0x7f0cac27c410>,7,15,[5 2],9,18,33,9,18
1,<environment.Job instance at 0x7f0cabf94140>,15,13,[10  5],17,33,46,16,23
1,<environment.Job instance at 0x7f0cac27ce10>,6,13,[10  5],8,46,59,38,31
