iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f30d76e2280>,10,1,[7 3],11,-1,19,-1,18
1,<environment.Job instance at 0x7f30d76e2320>,11,2,[3 9],12,-1,20,-1,18
1,<environment.Job instance at 0x7f30d76e23c0>,12,3,[6 3],13,-1,21,-1,18
1,<environment.Job instance at 0x7f30d76e25a0>,15,3,[10  2],16,-1,32,-1,29
1,<environment.Job instance at 0x7f30d76e26e0>,17,3,[10  3],18,-1,33,-1,30
1,<environment.Job instance at 0x7f30d76e2230>,19,17,[12  3],20,-1,62,-1,45
1,<environment.Job instance at 0x7f30d76e21e0>,20,1,[3 7],21,-1,46,-1,45
1,<environment.Job instance at 0x7f30d76e28c0>,21,3,[ 2 10],22,-1,48,-1,45
1,<environment.Job instance at 0x7f30d76e29b0>,22,2,[12  3],23,-1,47,-1,45
1,<environment.Job instance at 0x7f30d76e2af0>,24,3,[5 9],25,-1,50,-1,47
1,<environment.Job instance at 0x7f30d76e2b90>,25,3,[1 6],26,-1,50,-1,47
1,<environment.Job instance at 0x7f30d76e2c30>,26,22,[2 9],27,-1,69,-1,47
1,<environment.Job instance at 0x7f30d76e2cd0>,27,2,[6 4],28,-1,49,-1,47
1,<environment.Job instance at 0x7f30d76e2d70>,28,2,[5 9],29,-1,49,-1,47
1,<environment.Job instance at 0x7f30d76e2f50>,30,1,[5 5],31,-1,48,-1,47
1,<environment.Job instance at 0x7f30d7828780>,3,18,[ 4 12],4,-1,22,-1,4
1,<environment.Job instance at 0x7f30d784c4b0>,8,1,[5 7],9,-1,11,-1,10
1,<environment.Job instance at 0x7f30d784c640>,10,24,[ 3 10],11,-1,35,-1,11
1,<environment.Job instance at 0x7f30d784cd70>,11,2,[9 2],12,-1,14,-1,12
1,<environment.Job instance at 0x7f30d784cd20>,2,27,[ 3 13],3,-1,30,-1,3
1,<environment.Job instance at 0x7f30d784ceb0>,9,3,[5 3],10,-1,14,-1,11
1,<environment.Job instance at 0x7f30d6e76690>,11,18,[ 3 13],12,-1,30,-1,12
1,<environment.Job instance at 0x7f30d6e76910>,12,2,[4 8],13,-1,15,-1,13
1,<environment.Job instance at 0x7f30d6e760a0>,17,18,[ 3 12],18,-1,37,-1,19
1,<environment.Job instance at 0x7f30d6e3daf0>,20,2,[5 6],21,-1,23,-1,21
1,<environment.Job instance at 0x7f30d6e3da50>,21,18,[11  5],22,-1,44,-1,26
1,<environment.Job instance at 0x7f30d6e3d140>,22,14,[14  1],23,-1,40,-1,26
1,<environment.Job instance at 0x7f30d6e3d410>,23,3,[1 5],24,-1,29,-1,26
1,<environment.Job instance at 0x7f30d6e3d1e0>,26,2,[9 1],27,-1,36,-1,34
1,<environment.Job instance at 0x7f30d70a2550>,16,22,[11  3],17,-1,42,-1,20
1,<environment.Job instance at 0x7f30d6e88230>,20,3,[9 1],21,-1,41,-1,38
1,<environment.Job instance at 0x7f30d73d9a50>,22,1,[ 5 10],23,-1,41,-1,40
1,<environment.Job instance at 0x7f30d6ca4780>,10,2,[8 3],11,-1,18,-1,16
1,<environment.Job instance at 0x7f30d8348af0>,12,2,[7 1],13,-1,15,-1,13
1,<environment.Job instance at 0x7f30d8348960>,13,2,[3 5],14,-1,16,-1,14
1,<environment.Job instance at 0x7f30d836ddc0>,15,2,[4 6],16,-1,27,-1,25
1,<environment.Job instance at 0x7f30d83481e0>,16,2,[6 5],17,-1,27,-1,25
1,<environment.Job instance at 0x7f30d8348500>,18,3,[5 1],19,-1,28,-1,25
1,<environment.Job instance at 0x7f30d7db5d70>,12,2,[1 5],13,-1,19,-1,17
1,<environment.Job instance at 0x7f30d825db40>,3,27,[7 5],4,-1,31,-1,4
1,<environment.Job instance at 0x7f30d7cede60>,19,3,[9 3],20,-1,51,-1,48
1,<environment.Job instance at 0x7f30d7cedbe0>,20,1,[ 4 12],21,-1,49,-1,48
1,<environment.Job instance at 0x7f30d7ced460>,21,1,[10  1],22,-1,50,-1,49
1,<environment.Job instance at 0x7f30d826d0a0>,12,27,[5 5],13,-1,40,-1,13
1,<environment.Job instance at 0x7f30d826daf0>,14,25,[1 7],15,-1,43,-1,18
1,<environment.Job instance at 0x7f30d79524b0>,18,2,[7 3],19,-1,21,-1,19
1,<environment.Job instance at 0x7f30d8354280>,13,3,[ 5 13],14,-1,23,-1,20
1,<environment.Job instance at 0x7f30d83544b0>,16,17,[13  2],17,-1,50,-1,33
1,<environment.Job instance at 0x7f30d8354550>,17,1,[11  4],18,-1,34,-1,33
1,<environment.Job instance at 0x7f30d83545f0>,18,1,[5 3],19,-1,34,-1,33
1,<environment.Job instance at 0x7f30d7098870>,5,12,[ 3 13],6,-1,18,-1,6
1,<environment.Job instance at 0x7f30e0977fa0>,16,2,[ 3 10],17,-1,25,-1,23
1,<environment.Job instance at 0x7f30e0977f50>,21,17,[14  3],22,-1,53,-1,36
1,<environment.Job instance at 0x7f30d71a4190>,24,15,[ 2 13],25,-1,52,-1,37
1,<environment.Job instance at 0x7f30d7b13640>,11,13,[12  4],12,-1,25,-1,12
1,<environment.Job instance at 0x7f30d76a85a0>,19,3,[5 9],20,-1,43,-1,40
1,<environment.Job instance at 0x7f30d762c730>,20,2,[6 4],21,-1,42,-1,40
1,<environment.Job instance at 0x7f30d82b02d0>,21,2,[3 5],22,-1,42,-1,40
1,<environment.Job instance at 0x7f30d6e955f0>,3,1,[4 9],4,-1,5,-1,4
1,<environment.Job instance at 0x7f30d71b6320>,10,27,[6 4],11,-1,38,-1,11
1,<environment.Job instance at 0x7f30d71a3a50>,17,2,[ 2 10],18,-1,20,-1,18
1,<environment.Job instance at 0x7f30d73f2050>,18,2,[5 8],19,-1,38,-1,36
1,<environment.Job instance at 0x7f30d73f2c30>,19,3,[14  1],20,-1,40,-1,37
1,<environment.Job instance at 0x7f30d73f2f50>,20,20,[4 6],21,-1,66,-1,46
1,<environment.Job instance at 0x7f30d75a2780>,3,3,[8 4],4,-1,8,-1,5
1,<environment.Job instance at 0x7f30d75a2870>,5,12,[10  1],6,-1,18,-1,6
1,<environment.Job instance at 0x7f30d7e74050>,17,2,[7 4],18,-1,42,-1,40
1,<environment.Job instance at 0x7f30d7a7bc30>,11,3,[1 9],12,-1,24,-1,21
1,<environment.Job instance at 0x7f30d7d901e0>,15,1,[5 8],16,-1,41,-1,40
1,<environment.Job instance at 0x7f30d7a8f5a0>,17,2,[9 3],18,-1,47,-1,45
1,<environment.Job instance at 0x7f30d7a83d70>,19,1,[5 4],20,-1,49,-1,48
1,<environment.Job instance at 0x7f30d8103550>,20,23,[9 4],21,-1,71,-1,48
1,<environment.Job instance at 0x7f30d8103550>,2,12,[ 5 13],3,-1,15,-1,3
1,<environment.Job instance at 0x7f30d6d31af0>,3,24,[ 5 11],4,-1,28,-1,4
1,<environment.Job instance at 0x7f30d6c805a0>,3,1,[12  4],4,-1,5,-1,4
1,<environment.Job instance at 0x7f30d7289870>,10,2,[ 2 12],11,-1,13,-1,11
1,<environment.Job instance at 0x7f30d6f7a3c0>,15,23,[8 4],16,-1,40,-1,17
1,<environment.Job instance at 0x7f30d6f7ab90>,21,3,[2 6],22,-1,44,-1,41
1,<environment.Job instance at 0x7f30d6f7a730>,24,15,[11  1],25,-1,64,-1,49
1,<environment.Job instance at 0x7f30d78a4780>,5,1,[ 2 10],6,-1,9,-1,8
1,<environment.Job instance at 0x7f30d71876e0>,8,2,[ 1 13],9,-1,11,-1,9
1,<environment.Job instance at 0x7f30d810cb90>,10,28,[ 2 14],11,-1,39,-1,11
1,<environment.Job instance at 0x7f30d70bb550>,11,28,[5 1],12,-1,40,-1,12
1,<environment.Job instance at 0x7f30d7a6cbe0>,12,3,[1 8],13,-1,16,-1,13
1,<environment.Job instance at 0x7f30d7e00410>,23,23,[7 4],24,-1,59,-1,36
1,<environment.Job instance at 0x7f59e6d6c5f0>,1,15,[ 1 14],2,-1,17,-1,2
1,<environment.Job instance at 0x7f59dd617e60>,6,12,[11  4],7,-1,21,-1,9
1,<environment.Job instance at 0x7f59dd5955a0>,15,3,[10  2],16,-1,38,-1,35
1,<environment.Job instance at 0x7f59dd5958c0>,17,3,[10  3],18,-1,38,-1,35
1,<environment.Job instance at 0x7f59dd595140>,19,17,[12  3],20,-1,68,-1,51
1,<environment.Job instance at 0x7f59dd595960>,20,1,[3 7],21,-1,52,-1,51
1,<environment.Job instance at 0x7f59dd595a00>,21,3,[ 2 10],22,-1,54,-1,51
1,<environment.Job instance at 0x7f59dd595aa0>,22,2,[12  3],23,-1,53,-1,51
1,<environment.Job instance at 0x7f59dd595be0>,24,3,[5 9],25,-1,56,-1,53
1,<environment.Job instance at 0x7f59dd75d5a0>,8,22,[5 6],9,-1,49,-1,27
1,<environment.Job instance at 0x7f59dd2832d0>,21,17,[ 4 14],22,-1,58,-1,41
1,<environment.Job instance at 0x7f59dd757c80>,2,14,[14  1],3,-1,17,-1,3
1,<environment.Job instance at 0x7f59dcd22a00>,6,2,[9 1],7,-1,9,-1,7
