iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f549f6d1a00>,5,13,[5 9],6,15,28,9,6
1,<environment.Job instance at 0x7f54a282a500>,0,18,[ 2 10],1,28,46,27,17
1,<environment.Job instance at 0x7f54a282a320>,3,18,[ 3 10],4,46,64,42,35
1,<environment.Job instance at 0x7f549f6d5460>,1,2,[4 9],2,3,5,1,3
1,<environment.Job instance at 0x7f54a2775af0>,9,14,[ 2 10],10,10,24,0,10
1,<environment.Job instance at 0x7f54a29ab0a0>,15,13,[3 5],16,24,37,8,19
1,<environment.Job instance at 0x7f54a29ab050>,16,3,[ 2 10],17,37,40,20,19
1,<environment.Job instance at 0x7f54a29ab550>,20,18,[5 5],21,41,59,20,41
1,<environment.Job instance at 0x7f54a2775dc0>,6,18,[4 5],7,42,60,35,42
1,<environment.Job instance at 0x7f54a29a28c0>,25,3,[6 4],26,59,62,33,43
1,<environment.Job instance at 0x7f54639caaa0>,5,1,[3 6],6,6,7,0,6
1,<environment.Job instance at 0x7f54639cae10>,7,3,[7 4],8,8,11,0,8
1,<environment.Job instance at 0x7f5463a080f0>,12,2,[4 8],13,21,23,8,21
1,<environment.Job instance at 0x7f5463a088c0>,13,3,[1 6],14,23,26,9,21
1,<environment.Job instance at 0x7f54639ca550>,9,3,[5 3],10,23,26,13,21
1,<environment.Job instance at 0x7f5463a08c30>,15,14,[9 1],16,26,40,10,22
1,<environment.Job instance at 0x7f5463a08910>,18,3,[2 7],19,40,43,21,25
1,<environment.Job instance at 0x7f54639caf00>,6,12,[2 6],7,43,55,36,26
1,<environment.Job instance at 0x7f5463a05aa0>,20,2,[5 6],21,55,57,34,28
1,<environment.Job instance at 0x7f5463a08c80>,19,16,[1 8],20,57,73,37,46
1,<environment.Job instance at 0x7f5463abf5f0>,24,15,[9 1],25,57,72,32,49
1,<environment.Job instance at 0x7f5463ec55a0>,2,16,[6 2],3,3,19,0,3
1,<environment.Job instance at 0x7f5463abfe60>,3,1,[5 6],4,19,20,15,4
1,<environment.Job instance at 0x7f5463ec51e0>,4,2,[8 5],5,20,22,15,5
1,<environment.Job instance at 0x7f5463b37aa0>,10,12,[6 3],11,22,34,11,11
1,<environment.Job instance at 0x7f5463b379b0>,11,3,[1 5],12,12,15,0,12
1,<environment.Job instance at 0x7f5463b37320>,14,13,[1 9],15,34,47,19,18
1,<environment.Job instance at 0x7f5463b37f00>,13,15,[4 8],14,47,62,33,33
1,<environment.Job instance at 0x7f5463aa0dc0>,17,18,[5 2],18,47,65,29,37
1,<environment.Job instance at 0x7f5463aa0190>,26,1,[7 4],27,65,66,38,40
1,<environment.Job instance at 0x7f5463aa0050>,23,12,[1 7],24,66,78,42,49
1,<environment.Job instance at 0x7f5463a9baa0>,0,2,[3 8],1,1,3,0,1
1,<environment.Job instance at 0x7f5463aa0050>,2,14,[9 2],3,16,30,13,16
1,<environment.Job instance at 0x7f5463db7500>,6,13,[5 1],7,30,43,23,20
1,<environment.Job instance at 0x7f5463a9b5f0>,5,17,[5 9],6,30,47,24,23
1,<environment.Job instance at 0x7f5463db7aa0>,13,12,[5 1],14,43,55,29,26
1,<environment.Job instance at 0x7f5463db7be0>,15,17,[8 1],16,55,72,39,43
1,<environment.Job instance at 0x7f5463db7910>,10,17,[2 9],11,47,64,36,44
1,<environment.Job instance at 0x7f54a212fc80>,5,2,[9 2],6,6,8,0,6
1,<environment.Job instance at 0x7f549ed774b0>,6,2,[5 1],7,8,10,1,7
1,<environment.Job instance at 0x7f549ed77460>,7,1,[1 7],8,8,9,0,8
1,<environment.Job instance at 0x7f54a212f690>,9,12,[1 8],10,12,24,2,12
1,<environment.Job instance at 0x7f549ed77140>,14,18,[10  2],15,24,42,9,15
1,<environment.Job instance at 0x7f54a212f140>,0,18,[8 5],1,42,60,41,31
1,<environment.Job instance at 0x7f549ed0c780>,6,15,[7 3],7,9,24,2,9
1,<environment.Job instance at 0x7f549ed874b0>,9,1,[8 5],10,24,25,14,10
1,<environment.Job instance at 0x7f549ed87eb0>,10,14,[2 8],11,25,39,14,11
1,<environment.Job instance at 0x7f549ed87190>,13,2,[3 5],14,18,20,4,18
1,<environment.Job instance at 0x7f54a2373d70>,17,14,[7 1],18,25,39,7,23
1,<environment.Job instance at 0x7f54a1dbea00>,14,16,[8 3],15,39,55,24,27
1,<environment.Job instance at 0x7f54a2373c30>,20,14,[ 3 10],21,55,69,34,40
1,<environment.Job instance at 0x7f549f808c30>,3,1,[2 8],4,5,6,1,5
1,<environment.Job instance at 0x7f5463a2f3c0>,6,15,[10  5],7,9,24,2,9
1,<environment.Job instance at 0x7f5463a2f230>,4,12,[2 9],5,24,36,19,11
1,<environment.Job instance at 0x7f54639f2780>,10,1,[5 1],11,24,25,13,11
1,<environment.Job instance at 0x7f54639c6b90>,12,2,[1 5],13,36,38,23,13
1,<environment.Job instance at 0x7f5463d08a00>,16,3,[2 7],17,38,41,21,18
1,<environment.Job instance at 0x7f5463d0d9b0>,18,3,[4 7],19,41,44,22,21
1,<environment.Job instance at 0x7f5463a2f050>,5,16,[2 6],6,44,60,38,32
1,<environment.Job instance at 0x7f5463d0d690>,20,17,[7 1],21,44,61,23,34
1,<environment.Job instance at 0x7f549ed231e0>,1,3,[3 7],2,2,5,0,2
1,<environment.Job instance at 0x7f5463d08230>,7,13,[4 6],8,8,21,0,8
1,<environment.Job instance at 0x7f5463d085f0>,6,13,[8 3],7,21,34,14,9
1,<environment.Job instance at 0x7f5463d08910>,13,16,[3 5],14,34,50,20,23
1,<environment.Job instance at 0x7f549ed4bcd0>,17,14,[10  3],18,50,64,32,36
1,<environment.Job instance at 0x7f549ed4bb40>,18,13,[8 2],19,64,77,45,48
1,<environment.Job instance at 0x7f549f727460>,4,15,[ 1 10],5,6,21,1,6
1,<environment.Job instance at 0x7f549ec95e60>,13,14,[3 6],14,21,35,7,15
1,<environment.Job instance at 0x7f54a21077d0>,15,1,[3 6],16,35,36,19,16
1,<environment.Job instance at 0x7f549fb77370>,18,2,[7 3],19,21,23,2,19
1,<environment.Job instance at 0x7f549fa21910>,19,14,[2 6],20,36,50,16,21
1,<environment.Job instance at 0x7f54a2045550>,20,2,[6 5],21,50,52,29,24
1,<environment.Job instance at 0x7f549ed1b0f0>,22,12,[4 9],23,52,64,29,37
1,<environment.Job instance at 0x7f5463e3dc80>,4,1,[2 5],5,5,6,0,5
1,<environment.Job instance at 0x7f5463f58e60>,5,2,[9 3],6,6,8,0,6
1,<environment.Job instance at 0x7f5463f58b90>,9,3,[3 6],10,10,13,0,10
1,<environment.Job instance at 0x7f5463f58dc0>,10,3,[7 3],11,11,14,0,11
1,<environment.Job instance at 0x7f5464029e10>,0,19,[2 7],1,13,32,12,12
1,<environment.Job instance at 0x7f5463a63280>,14,13,[1 9],15,32,45,17,16
1,<environment.Job instance at 0x7f549f9ae5a0>,12,12,[3 8],13,45,57,32,29
1,<environment.Job instance at 0x7f54a1caad70>,11,17,[5 7],12,57,74,45,45
1,<environment.Job instance at 0x7f5463940370>,2,3,[4 9],3,3,6,0,3
1,<environment.Job instance at 0x7f54639408c0>,0,3,[1 6],1,6,9,5,3
1,<environment.Job instance at 0x7f546379d050>,4,2,[10  3],5,9,11,4,5
1,<environment.Job instance at 0x7f546379deb0>,3,12,[ 2 10],4,11,23,7,11
1,<environment.Job instance at 0x7f54a1c9f1e0>,11,3,[1 6],12,23,26,11,12
1,<environment.Job instance at 0x7f54a1cbd2d0>,7,18,[3 6],8,26,44,18,15
1,<environment.Job instance at 0x7f54a1c9f640>,15,12,[6 1],16,23,35,7,16
1,<environment.Job instance at 0x7f54a1c9f6e0>,16,2,[ 3 10],17,44,46,27,17
1,<environment.Job instance at 0x7f54a1c9f780>,17,3,[5 1],18,35,38,17,18
1,<environment.Job instance at 0x7f54a1c9f960>,18,2,[5 4],19,38,40,19,19
1,<environment.Job instance at 0x7f54a1c9fcd0>,20,1,[5 1],21,40,41,19,26
1,<environment.Job instance at 0x7f54a1c9f050>,10,18,[5 9],11,46,64,35,35
1,<environment.Job instance at 0x7f54a1cad370>,2,2,[7 4],3,3,5,0,3
1,<environment.Job instance at 0x7f549ee218c0>,10,1,[9 5],11,11,12,0,11
1,<environment.Job instance at 0x7f549ee21370>,7,17,[3 5],8,13,30,5,13
1,<environment.Job instance at 0x7f549ee21910>,12,15,[10  1],13,30,45,17,19
1,<environment.Job instance at 0x7f549ee213c0>,16,13,[3 9],17,45,58,28,34
1,<environment.Job instance at 0x7f549ee215a0>,19,3,[5 9],20,58,61,38,39
1,<environment.Job instance at 0x7f5463d0c780>,4,12,[3 5],5,5,17,0,5
1,<environment.Job instance at 0x7f549f7e4a50>,6,2,[8 4],7,17,19,10,8
1,<environment.Job instance at 0x7f5463d0c3c0>,13,13,[7 5],14,19,32,5,15
1,<environment.Job instance at 0x7f549ec88140>,14,13,[1 8],15,32,45,17,17
1,<environment.Job instance at 0x7f5463cf2230>,21,2,[2 6],22,45,47,23,28
1,<environment.Job instance at 0x7f5463cf2be0>,24,16,[9 4],25,47,63,22,35
1,<environment.Job instance at 0x7f5463cf2640>,25,3,[1 9],26,63,66,37,37
1,<environment.Job instance at 0x7f54637b6190>,0,2,[2 7],1,3,5,2,3
1,<environment.Job instance at 0x7f5463d0caf0>,5,15,[ 1 10],6,8,23,2,8
1,<environment.Job instance at 0x7f549edf4d20>,7,12,[7 2],8,23,35,15,10
1,<environment.Job instance at 0x7f549edb91e0>,13,3,[4 7],14,35,38,21,16
1,<environment.Job instance at 0x7f549edb9690>,17,15,[4 6],18,38,53,20,24
1,<environment.Job instance at 0x7f549edb9af0>,24,16,[4 5],25,53,69,28,40
1,<environment.Job instance at 0x7f54a24044b0>,4,14,[3 8],5,5,19,0,5
1,<environment.Job instance at 0x7f54a24046e0>,6,12,[2 7],7,19,31,12,7
1,<environment.Job instance at 0x7f5463895730>,10,2,[5 1],11,13,15,2,13
1,<environment.Job instance at 0x7f5463895f00>,11,12,[5 5],12,31,43,19,14
1,<environment.Job instance at 0x7f549edb9d70>,5,12,[10  1],6,43,55,37,27
1,<environment.Job instance at 0x7f549f9426e0>,17,2,[7 4],18,55,57,37,43
1,<environment.Job instance at 0x7f549edd4960>,1,18,[4 8],2,57,75,55,46
1,<environment.Job instance at 0x7f5464070e60>,3,18,[5 5],4,6,24,2,6
1,<environment.Job instance at 0x7f5463daedc0>,7,2,[ 3 10],8,24,26,16,8
1,<environment.Job instance at 0x7f54637ba050>,8,18,[1 5],9,26,44,17,15
1,<environment.Job instance at 0x7f549f85aeb0>,11,3,[1 9],12,44,47,32,18
1,<environment.Job instance at 0x7f5464070410>,9,18,[9 5],10,26,44,16,20
1,<environment.Job instance at 0x7f54a1c538c0>,12,13,[9 4],13,47,60,34,31
1,<environment.Job instance at 0x7f549f9c51e0>,18,16,[8 3],19,60,76,41,47
1,<environment.Job instance at 0x7f5463e77640>,0,14,[1 5],1,3,17,2,3
1,<environment.Job instance at 0x7f549ec44410>,7,19,[1 5],8,8,27,0,8
1,<environment.Job instance at 0x7f54a1d91870>,9,18,[6 4],10,17,35,7,11
1,<environment.Job instance at 0x7f5463c68410>,11,13,[6 3],12,35,48,23,20
1,<environment.Job instance at 0x7f54a20395a0>,14,14,[5 3],15,48,62,33,33
1,<environment.Job instance at 0x7f549fa27fa0>,4,3,[4 5],5,6,9,1,6
1,<environment.Job instance at 0x7f549fa27b40>,2,2,[3 6],3,9,11,6,7
1,<environment.Job instance at 0x7f549fa27780>,6,3,[5 8],7,11,14,4,7
1,<environment.Job instance at 0x7f549fa27460>,9,3,[8 2],10,14,17,4,11
1,<environment.Job instance at 0x7f549fa27910>,12,3,[5 9],13,20,23,7,20
1,<environment.Job instance at 0x7f549fa27b90>,14,3,[2 7],15,23,26,8,20
1,<environment.Job instance at 0x7f5463bb27d0>,19,18,[6 1],20,43,61,23,43
1,<environment.Job instance at 0x7f549fa27960>,16,12,[3 9],17,43,55,26,43
1,<environment.Job instance at 0x7f5463bb25f0>,22,12,[6 1],23,61,73,38,44
1,<environment.Job instance at 0x7f5463bb2a00>,18,16,[4 8],19,55,71,36,47
1,<environment.Job instance at 0x7f549ee2fbe0>,0,3,[5 3],1,2,5,1,2
1,<environment.Job instance at 0x7f5463f30af0>,2,2,[5 7],3,4,6,1,4
1,<environment.Job instance at 0x7f549ed48c30>,7,15,[7 4],8,8,23,0,8
1,<environment.Job instance at 0x7f54639e2140>,4,15,[4 8],5,23,38,18,12
1,<environment.Job instance at 0x7f54638c28c0>,14,3,[1 5],15,15,18,0,15
1,<environment.Job instance at 0x7f54640310a0>,16,3,[7 4],17,38,41,21,19
1,<environment.Job instance at 0x7f54639fee10>,18,2,[7 4],19,41,43,22,24
1,<environment.Job instance at 0x7f54a21de690>,19,2,[5 1],20,24,26,4,24
1,<environment.Job instance at 0x7f54a20190f0>,20,2,[10  5],21,43,45,22,24
1,<environment.Job instance at 0x7f5463feb0f0>,21,3,[9 1],22,45,48,23,24
1,<environment.Job instance at 0x7f54638ab500>,17,13,[9 1],18,48,61,30,32
1,<environment.Job instance at 0x7f54639e2640>,6,16,[1 6],7,45,61,38,33
1,<environment.Job instance at 0x7f549f94d5f0>,26,12,[9 5],27,61,73,34,44
1,<environment.Job instance at 0x7f50a1df83c0>,2,12,[5 4],3,3,15,0,3
1,<environment.Job instance at 0x7f509a9eb9b0>,5,13,[5 9],6,15,28,9,6
1,<environment.Job instance at 0x7f509a9ebd20>,7,14,[5 1],8,8,22,0,8
1,<environment.Job instance at 0x7f509a9ebcd0>,8,17,[ 2 10],9,28,45,19,17
1,<environment.Job instance at 0x7f509a9ebc30>,13,13,[1 8],14,45,58,31,29
1,<environment.Job instance at 0x7f509a9ef460>,16,12,[1 8],17,58,70,41,41
1,<environment.Job instance at 0x7f509a9ebf00>,9,17,[ 4 10],10,70,87,60,58
1,<environment.Job instance at 0x7f50a1f74eb0>,9,13,[7 2],10,14,27,4,14
1,<environment.Job instance at 0x7f50a1f74af0>,12,14,[9 1],13,27,41,14,23
1,<environment.Job instance at 0x7f50a1f74b40>,10,18,[5 5],11,41,59,30,30
1,<environment.Job instance at 0x7f50a1f75cd0>,20,2,[10  3],21,59,61,38,32
1,<environment.Job instance at 0x7f50a1e25d20>,22,3,[10  1],23,61,64,38,35
1,<environment.Job instance at 0x7f50a1e251e0>,23,3,[9 2],24,64,67,40,38
1,<environment.Job instance at 0x7f50a1e25140>,24,12,[3 5],25,41,53,16,40
1,<environment.Job instance at 0x7f50a1e25550>,26,3,[5 6],27,67,70,40,43
1,<environment.Job instance at 0x7f50a1e25820>,27,2,[ 4 10],28,70,72,42,43
1,<environment.Job instance at 0x7f50a1e25a50>,29,13,[7 2],30,72,85,42,56
1,<environment.Job instance at 0x7f50a1e256e0>,3,3,[1 5],4,4,7,0,4
1,<environment.Job instance at 0x7f5056d13280>,5,15,[5 3],6,6,21,0,6
1,<environment.Job instance at 0x7f5056d13d20>,8,16,[7 1],9,21,37,12,12
1,<environment.Job instance at 0x7f5056d0c1e0>,12,3,[8 5],13,37,40,24,13
1,<environment.Job instance at 0x7f5056d13370>,11,2,[9 3],12,40,42,28,14
