iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7f5b15a4a5f0>,3,3,[4 8],4,4,7,4
<environment.Job instance at 0x7f5b15a4a8c0>,5,2,[1 5],6,7,9,7
<environment.Job instance at 0x7f5b15a4a690>,7,1,[5 4],8,8,9,8
<environment.Job instance at 0x7f5b15a4aa50>,8,13,[5 5],9,9,22,9
<environment.Job instance at 0x7f5b15a4a870>,4,14,[1 6],5,10,24,10
<environment.Job instance at 0x7f5b15a4aaf0>,10,12,[3 7],11,22,34,11
<environment.Job instance at 0x7f5b15a4a7d0>,6,20,[6 1],7,14,34,12
<environment.Job instance at 0x7f5b15a4a640>,11,15,[4 8],12,34,49,20
<environment.Job instance at 0x7f5b15a4a9b0>,9,18,[11  5],10,37,55,37
<environment.Job instance at 0x7f5b15a4ae60>,14,13,[7 3],15,55,68,39
<environment.Job instance at 0x7f5b15a4af00>,15,18,[2 8],16,49,67,40
<environment.Job instance at 0x7f5b159d5410>,0,16,[12  2],1,1,17,1
<environment.Job instance at 0x7f5b1535bcd0>,1,3,[1 5],2,2,5,2
<environment.Job instance at 0x7f5b15e97730>,2,1,[8 5],3,17,18,3
<environment.Job instance at 0x7f5b15e977d0>,3,17,[5 7],4,17,34,5
<environment.Job instance at 0x7f5b15e97cd0>,5,2,[ 3 10],6,6,8,6
<environment.Job instance at 0x7f5b15e970f0>,6,17,[8 5],7,18,35,7
<environment.Job instance at 0x7f5b15e97fa0>,10,3,[12  3],11,35,38,11
<environment.Job instance at 0x7f5b15e94780>,11,2,[4 5],12,38,40,12
<environment.Job instance at 0x7f5b15e97e60>,9,17,[1 6],10,34,51,24
<environment.Job instance at 0x7f5b15e971e0>,13,3,[5 9],14,40,43,24
<environment.Job instance at 0x7f5b15e94460>,12,22,[6 4],13,43,65,36
<environment.Job instance at 0x7f5b15e941e0>,15,20,[2 6],16,51,71,42
<environment.Job instance at 0x7f5b15e942d0>,16,3,[7 4],17,43,46,42
