iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7ff3a9d72370>,2,22,[4 8],3,3,25,0,3
1,<environment.Job instance at 0x7ff3a9d72460>,1,22,[11  3],2,29,51,27,22
1,<environment.Job instance at 0x7ff3a2968dc0>,7,25,[6 2],8,51,76,43,47
1,<environment.Job instance at 0x7ff3a2968d20>,6,20,[6 1],7,51,71,44,47
1,<environment.Job instance at 0x7ff3a2968c80>,5,24,[1 5],6,53,77,47,53
1,<environment.Job instance at 0x7ff3a2968e60>,8,22,[14  3],9,76,98,67,69
1,<environment.Job instance at 0x7ff3a2968b90>,12,26,[ 1 12],13,79,105,66,79
1,<environment.Job instance at 0x7ff3a296b460>,17,28,[ 5 10],18,105,133,87,104
1,<environment.Job instance at 0x7ff3a9cbdd20>,2,20,[5 3],3,3,23,0,3
1,<environment.Job instance at 0x7ff3a296b370>,3,27,[8 5],4,4,31,0,4
1,<environment.Job instance at 0x7ff3a9cbda50>,6,20,[ 3 10],7,23,43,16,14
1,<environment.Job instance at 0x7ff3a9cbd910>,11,23,[1 5],12,31,54,19,30
1,<environment.Job instance at 0x7ff3a9cbd3c0>,14,20,[10  2],15,43,63,28,35
1,<environment.Job instance at 0x7ff3a9d71500>,18,27,[ 1 10],19,56,83,37,56
1,<environment.Job instance at 0x7ff35ed24cd0>,0,19,[8 2],1,2,21,1,2
1,<environment.Job instance at 0x7ff3a9d71b40>,2,27,[5 6],3,3,30,0,3
1,<environment.Job instance at 0x7ff35ed0b230>,4,22,[12  5],5,30,52,25,23
1,<environment.Job instance at 0x7ff3a9d71aa0>,3,24,[12  3],4,52,76,48,47
1,<environment.Job instance at 0x7ff35ed0b960>,7,23,[14  4],8,76,99,68,70
1,<environment.Job instance at 0x7ff35ed0be60>,11,21,[6 5],12,99,120,87,91
1,<environment.Job instance at 0x7ff35ed0b9b0>,12,26,[ 5 12],13,120,146,107,117
1,<environment.Job instance at 0x7ff35ed3b730>,4,22,[12  4],5,5,27,0,5
1,<environment.Job instance at 0x7ff35ed3bb40>,5,23,[1 7],6,6,29,0,6
1,<environment.Job instance at 0x7ff35f021a00>,10,25,[9 3],11,27,52,16,23
1,<environment.Job instance at 0x7ff35f021aa0>,12,22,[5 3],13,27,49,14,23
1,<environment.Job instance at 0x7ff35f021820>,16,3,[ 2 12],17,49,52,32,46
1,<environment.Job instance at 0x7ff35f0210f0>,17,21,[1 9],18,52,73,34,46
1,<environment.Job instance at 0x7ff35f291c80>,2,24,[7 5],3,3,27,0,3
1,<environment.Job instance at 0x7ff35f291410>,4,28,[2 7],5,5,33,0,5
1,<environment.Job instance at 0x7ff35f06c690>,5,28,[9 2],6,27,55,21,26
1,<environment.Job instance at 0x7ff35f06c960>,9,22,[2 7],10,33,55,23,26
1,<environment.Job instance at 0x7ff35f06cc80>,17,19,[10  5],18,55,74,37,52
1,<environment.Job instance at 0x7ff35f06ca00>,10,20,[ 3 13],11,74,94,63,66
1,<environment.Job instance at 0x7ff35f06cf00>,20,25,[6 2],21,74,99,53,70
1,<environment.Job instance at 0x7ff35f058dc0>,1,27,[ 4 13],2,2,29,0,2
1,<environment.Job instance at 0x7ff3a55dd0f0>,2,26,[8 4],3,29,55,26,26
1,<environment.Job instance at 0x7ff3a9aee820>,9,1,[5 4],10,29,30,19,28
1,<environment.Job instance at 0x7ff3a5554c30>,10,25,[ 3 10],11,30,55,19,28
1,<environment.Job instance at 0x7ff3a5554550>,12,27,[3 9],13,55,82,42,53
1,<environment.Job instance at 0x7ff3a5554a50>,15,24,[1 5],16,55,79,39,53
1,<environment.Job instance at 0x7ff3a5554b90>,16,23,[3 6],17,79,102,62,73
1,<environment.Job instance at 0x7ff3a5554870>,18,21,[8 3],19,82,103,63,74
1,<environment.Job instance at 0x7ff3a5554f50>,19,26,[9 4],20,103,129,83,100
1,<environment.Job instance at 0x7ff35f058eb0>,0,3,[11  3],1,129,132,128,105
1,<environment.Job instance at 0x7ff3a26dccd0>,24,25,[1 5],25,120,145,95,120
1,<environment.Job instance at 0x7ff35efec7d0>,0,25,[4 5],1,1,26,0,1
1,<environment.Job instance at 0x7ff3a9eec230>,1,25,[6 3],2,2,27,0,2
1,<environment.Job instance at 0x7ff3a9eec5a0>,7,26,[ 1 13],8,27,53,19,24
1,<environment.Job instance at 0x7ff3a2c8e280>,8,22,[3 9],9,53,75,44,46
1,<environment.Job instance at 0x7ff3a54b6f50>,2,2,[11  1],3,66,68,63,66
1,<environment.Job instance at 0x7ff3a2c920f0>,12,20,[2 6],13,70,90,57,70
1,<environment.Job instance at 0x7ff35ee9f050>,14,25,[2 8],15,75,100,60,71
1,<environment.Job instance at 0x7ff35f0156e0>,16,2,[ 5 13],17,100,102,83,99
1,<environment.Job instance at 0x7ff3a2c887d0>,17,24,[2 7],18,102,126,84,99
1,<environment.Job instance at 0x7ff3a28b4780>,0,23,[2 7],1,1,24,0,1
1,<environment.Job instance at 0x7ff3a2c887d0>,2,28,[1 7],3,3,31,0,3
1,<environment.Job instance at 0x7ff3a28b4c30>,4,22,[6 5],5,24,46,19,17
1,<environment.Job instance at 0x7ff3a505e7d0>,8,22,[5 2],9,24,46,15,17
1,<environment.Job instance at 0x7ff3a505c870>,12,21,[4 8],13,31,52,18,25
1,<environment.Job instance at 0x7ff3a5024aa0>,14,21,[3 8],15,52,73,37,44
1,<environment.Job instance at 0x7ff3a2852050>,15,25,[ 5 10],16,73,98,57,69
1,<environment.Job instance at 0x7ff3a272b050>,18,20,[14  4],19,98,118,79,89
1,<environment.Job instance at 0x7ff3a27287d0>,20,27,[ 4 10],21,118,145,97,116
1,<environment.Job instance at 0x7ff3a27285f0>,21,25,[12  4],22,145,170,123,141
1,<environment.Job instance at 0x7ff35f2237d0>,23,27,[3 8],24,145,172,121,143
1,<environment.Job instance at 0x7ff35f2232d0>,25,24,[8 4],26,170,194,144,165
1,<environment.Job instance at 0x7ff35f223a50>,28,3,[13  2],29,194,197,165,168
1,<environment.Job instance at 0x7ff35f228e60>,33,1,[7 4],34,172,173,138,170
1,<environment.Job instance at 0x7ff3a26cdbe0>,5,1,[13  1],6,6,7,0,6
1,<environment.Job instance at 0x7ff3a26cd960>,6,19,[2 5],7,7,26,0,7
1,<environment.Job instance at 0x7ff3a26cdf00>,7,24,[1 8],8,8,32,0,8
1,<environment.Job instance at 0x7ff3a26cde10>,9,21,[6 5],10,26,47,16,18
1,<environment.Job instance at 0x7ff3a545fbe0>,10,26,[ 1 11],11,47,73,36,44
1,<environment.Job instance at 0x7ff35f134780>,15,28,[10  3],16,52,80,36,52
1,<environment.Job instance at 0x7ff35f1342d0>,19,20,[5 1],20,73,93,53,66
1,<environment.Job instance at 0x7ff3a5172b90>,20,25,[14  4],21,93,118,72,89
1,<environment.Job instance at 0x7ff3a26cda00>,4,2,[ 1 13],5,118,120,113,106
1,<environment.Job instance at 0x7ff3a5172190>,26,24,[14  2],27,118,142,91,113
1,<environment.Job instance at 0x7ff3a5172410>,28,2,[ 2 12],29,142,144,113,139
1,<environment.Job instance at 0x7ff3a5172780>,29,23,[ 4 11],30,144,167,114,139
1,<environment.Job instance at 0x7ff3a5172460>,31,23,[ 3 13],32,167,190,135,161
1,<environment.Job instance at 0x7ff3a542d870>,34,24,[ 3 10],35,190,214,155,185
1,<environment.Job instance at 0x7ff3a542d910>,40,25,[5 8],41,214,239,173,210
1,<environment.Job instance at 0x7ff3a542d500>,41,27,[7 4],42,210,237,168,210
1,<environment.Job instance at 0x7ff3a542dd70>,43,21,[6 4],44,237,258,193,229
1,<environment.Job instance at 0x7ff3a5172a00>,27,3,[ 5 11],28,240,243,212,240
1,<environment.Job instance at 0x7ff35f0acc30>,2,23,[11  2],3,3,26,0,3
1,<environment.Job instance at 0x7ff35f0ac0f0>,4,19,[8 2],5,26,45,21,16
1,<environment.Job instance at 0x7ff3a9d714b0>,5,19,[14  4],6,45,64,39,35
1,<environment.Job instance at 0x7ff3a53b8820>,9,21,[9 2],10,64,85,54,56
1,<environment.Job instance at 0x7ff3a278bcd0>,8,26,[8 1],9,9,35,0,9
1,<environment.Job instance at 0x7ff3a278b280>,9,19,[9 5],10,35,54,25,25
1,<environment.Job instance at 0x7ff3a2718b90>,10,2,[5 3],11,25,27,14,25
1,<environment.Job instance at 0x7ff3a278b320>,14,28,[6 1],15,38,66,23,38
1,<environment.Job instance at 0x7ff3a53f7e60>,15,21,[10  2],16,66,87,50,58
1,<environment.Job instance at 0x7ff35eb62a50>,18,3,[ 1 13],19,68,71,49,68
1,<environment.Job instance at 0x7ff3a5210e60>,20,20,[ 1 10],21,71,91,50,70
1,<environment.Job instance at 0x7ff3a2bcf3c0>,21,22,[5 3],22,87,109,65,80
1,<environment.Job instance at 0x7ff3a543e4b0>,25,22,[1 7],26,94,116,68,94
1,<environment.Job instance at 0x7ff3a2e03280>,26,20,[5 7],27,109,129,82,100
1,<environment.Job instance at 0x7ff3a2e5a8c0>,0,1,[ 5 14],1,2,3,1,2
1,<environment.Job instance at 0x7ff3a2e03f00>,2,26,[ 4 10],3,3,29,0,3
1,<environment.Job instance at 0x7ff35ea64c80>,6,25,[7 3],7,7,32,0,7
1,<environment.Job instance at 0x7ff35ea64be0>,5,24,[ 5 11],6,29,53,23,24
1,<environment.Job instance at 0x7ff3a2e5a370>,3,2,[ 4 11],4,53,55,49,40
1,<environment.Job instance at 0x7ff35ea64e60>,11,20,[2 9],12,55,75,43,46
1,<environment.Job instance at 0x7ff35ea4d320>,13,27,[12  4],14,55,82,41,53
1,<environment.Job instance at 0x7ff35ea4d500>,4,26,[1 5],5,5,31,0,5
1,<environment.Job instance at 0x7ff35f07e8c0>,5,22,[11  4],6,6,28,0,6
1,<environment.Job instance at 0x7ff35f07e910>,7,23,[ 4 10],8,28,51,20,22
1,<environment.Job instance at 0x7ff35f07e230>,6,21,[11  3],7,31,52,24,23
1,<environment.Job instance at 0x7ff35f07e500>,12,2,[ 1 14],13,52,54,39,49
1,<environment.Job instance at 0x7ff35f07e320>,8,19,[14  3],9,54,73,45,50
1,<environment.Job instance at 0x7ff35f07e690>,16,23,[7 4],17,73,96,56,67
1,<environment.Job instance at 0x7ff35f07ee60>,17,22,[9 4],18,96,118,78,89
1,<environment.Job instance at 0x7ff3a274abe0>,23,20,[5 4],24,92,112,68,92
1,<environment.Job instance at 0x7ff3a274a690>,24,28,[10  3],25,118,146,93,117
1,<environment.Job instance at 0x7ff3a274ab90>,25,25,[12  3],26,146,171,120,142
1,<environment.Job instance at 0x7ff35ee6daa0>,4,21,[6 4],5,5,26,0,5
1,<environment.Job instance at 0x7ff35ee6d320>,6,25,[ 5 10],7,7,32,0,7
1,<environment.Job instance at 0x7ff35ee6d960>,7,26,[9 3],8,26,52,18,23
1,<environment.Job instance at 0x7ff35ee6d230>,8,26,[ 1 12],9,32,58,23,29
1,<environment.Job instance at 0x7ff3a279aa00>,9,28,[3 6],10,58,86,48,57
1,<environment.Job instance at 0x7ff35ee6d370>,1,19,[12  1],2,57,76,55,57
1,<environment.Job instance at 0x7ff3a279af00>,15,2,[ 4 12],16,86,88,70,73
1,<environment.Job instance at 0x7ff3a279a500>,16,1,[10  1],17,76,77,59,73
1,<environment.Job instance at 0x7ff3a279af50>,17,28,[3 6],18,88,116,70,87
1,<environment.Job instance at 0x7ff3a279a910>,19,19,[13  1],20,173,192,153,173
1,<environment.Job instance at 0x7ff35eddd9b0>,24,28,[6 5],25,192,220,167,191
1,<environment.Job instance at 0x7ff3a52e59b0>,26,21,[7 3],27,192,213,165,191
1,<environment.Job instance at 0x7ff3a52e5870>,32,25,[4 6],33,222,247,189,222
1,<environment.Job instance at 0x7ff3a2d7c9b0>,34,24,[7 5],35,222,246,187,222
1,<environment.Job instance at 0x7ff3a2d7c500>,36,21,[14  1],37,247,268,210,239
1,<environment.Job instance at 0x7ff3a50763c0>,0,20,[5 6],1,1,21,0,1
1,<environment.Job instance at 0x7ff3a290fa50>,5,26,[13  4],6,21,47,15,18
1,<environment.Job instance at 0x7ff35ee84c30>,2,25,[13  4],3,47,72,44,43
1,<environment.Job instance at 0x7ff3a5036960>,1,1,[ 5 13],2,72,73,70,49
1,<environment.Job instance at 0x7ff3a290fd70>,7,21,[ 2 13],8,73,94,65,65
1,<environment.Job instance at 0x7ff3a290ff00>,11,24,[ 2 13],12,94,118,82,89
1,<environment.Job instance at 0x7ff3a2c5c6e0>,0,22,[ 1 12],1,1,23,0,1
1,<environment.Job instance at 0x7ff3a2c5c5f0>,3,25,[5 6],4,23,48,19,19
1,<environment.Job instance at 0x7ff3a2d61280>,4,26,[ 3 12],5,48,74,43,45
1,<environment.Job instance at 0x7ff3a2d61140>,7,27,[5 7],8,74,101,66,72
1,<environment.Job instance at 0x7ff3a2d61eb0>,11,23,[11  4],12,101,124,89,95
1,<environment.Job instance at 0x7ff3a2d61b40>,13,23,[2 7],14,96,119,82,96
1,<environment.Job instance at 0x7ff3a2d610a0>,8,20,[ 4 14],9,124,144,115,123
1,<environment.Job instance at 0x7ff3a2d61780>,15,2,[ 1 12],16,144,146,128,136
1,<environment.Job instance at 0x7ff3a50a7d70>,18,28,[6 4],19,146,174,127,145
1,<environment.Job instance at 0x7ff3a50a7c80>,21,25,[ 2 14],22,174,199,152,170
1,<environment.Job instance at 0x7ff3a50a7500>,25,3,[ 3 14],26,199,202,173,196
1,<environment.Job instance at 0x7ff3a50a7b90>,26,27,[10  1],27,196,223,169,196
1,<environment.Job instance at 0x7ff3a50a7af0>,30,28,[13  5],31,223,251,192,222
1,<environment.Job instance at 0x7ff35ebbf8c0>,34,2,[ 2 14],35,251,253,216,250
1,<environment.Job instance at 0x7ff3a2baa550>,0,24,[11  5],1,1,25,0,1
1,<environment.Job instance at 0x7ff3a52f0190>,7,27,[5 7],8,25,52,17,23
1,<environment.Job instance at 0x7ff3a52f06e0>,9,21,[12  3],10,52,73,42,44
1,<environment.Job instance at 0x7ff3a2bab500>,0,21,[13  2],1,1,22,0,1
1,<environment.Job instance at 0x7ff35f0b7190>,11,23,[13  3],12,22,45,10,16
1,<environment.Job instance at 0x7ff35f1bc2d0>,1,25,[4 9],2,2,27,0,2
