iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f0ce9bc22d0>,6,18,[6 2],12,14,32,2,12
1,<environment.Job instance at 0x7f0ce9bc20f0>,12,2,[ 4 10],19,32,34,13,19
1,<environment.Job instance at 0x7f0ce9bc2a00>,13,13,[7 3],20,34,47,14,25
1,<environment.Job instance at 0x7f0ce9bc2d70>,18,1,[7 5],30,47,48,17,30
1,<environment.Job instance at 0x7f0ce9bc61e0>,19,1,[6 5],31,48,49,17,31
1,<environment.Job instance at 0x7f0ce9bc6280>,20,1,[2 7],32,34,35,2,32
1,<environment.Job instance at 0x7f0ce9bc6640>,23,12,[ 5 10],35,49,61,14,37
1,<environment.Job instance at 0x7f0ce9bc6e10>,30,13,[4 7],51,61,74,10,53
1,<environment.Job instance at 0x7f0ce9bc4280>,34,13,[2 8],57,74,87,17,62
1,<environment.Job instance at 0x7f0ce9bc4410>,36,1,[8 1],59,74,75,15,71
1,<environment.Job instance at 0x7f0ce9bc42d0>,37,13,[9 5],61,87,100,26,71
1,<environment.Job instance at 0x7f0ce9bc4f50>,43,23,[6 4],72,100,123,28,100
1,<environment.Job instance at 0x7f0ce9bc4dc0>,44,22,[4 6],74,102,124,28,102
1,<environment.Job instance at 0x7f0ce9bcae10>,61,3,[7 4],97,124,127,27,109
1,<environment.Job instance at 0x7f0ce9bce500>,64,21,[5 3],101,127,148,26,119
1,<environment.Job instance at 0x7f0ce9bceaf0>,1,13,[8 5],3,3,16,0,3
1,<environment.Job instance at 0x7f0ceae8ef00>,7,15,[7 3],11,16,31,5,12
1,<environment.Job instance at 0x7f0ceae936e0>,12,27,[1 6],16,17,44,1,17
1,<environment.Job instance at 0x7f0ceae93c30>,18,16,[1 9],25,44,60,19,32
1,<environment.Job instance at 0x7f0cead49cd0>,21,14,[9 5],31,60,74,29,45
1,<environment.Job instance at 0x7f0ceae9d730>,29,2,[8 1],39,55,57,16,55
1,<environment.Job instance at 0x7f0ceae93280>,16,15,[2 7],23,74,89,51,60
1,<environment.Job instance at 0x7f0ceae98d70>,38,2,[4 9],49,89,91,40,71
1,<environment.Job instance at 0x7f0ceae9d8c0>,32,14,[3 6],42,91,105,49,80
1,<environment.Job instance at 0x7f0ceae980f0>,44,16,[7 2],59,91,107,32,81
1,<environment.Job instance at 0x7f0ceae8f640>,48,2,[9 5],64,107,109,43,82
1,<environment.Job instance at 0x7f0cead48c80>,52,14,[ 2 10],71,109,123,38,94
1,<environment.Job instance at 0x7f0cead482d0>,54,13,[2 8],73,123,136,50,107
1,<environment.Job instance at 0x7f0ceada8a50>,67,3,[1 7],91,136,139,45,119
1,<environment.Job instance at 0x7f0ceada83c0>,66,15,[6 5],90,139,154,49,128
1,<environment.Job instance at 0x7f0ceada86e0>,2,14,[4 6],5,5,19,0,5
1,<environment.Job instance at 0x7f0cabe823c0>,4,18,[6 1],8,8,26,0,8
1,<environment.Job instance at 0x7f0cabfbcaf0>,16,12,[9 1],26,26,38,0,26
1,<environment.Job instance at 0x7f0cabfbc320>,19,13,[1 9],32,32,45,0,32
1,<environment.Job instance at 0x7f0cabf6d5f0>,21,15,[ 5 10],34,45,60,11,34
1,<environment.Job instance at 0x7f0cabf6db90>,31,23,[6 3],50,60,83,10,54
1,<environment.Job instance at 0x7f0cabf6ddc0>,38,14,[5 9],62,83,97,21,74
1,<environment.Job instance at 0x7f0cabfa0320>,42,3,[7 1],67,97,100,30,93
1,<environment.Job instance at 0x7f0cabfa0af0>,41,24,[9 1],66,100,124,34,96
1,<environment.Job instance at 0x7f0cabfa04b0>,52,14,[4 7],81,127,141,46,127
1,<environment.Job instance at 0x7f0cabfa01e0>,54,1,[8 1],83,141,142,58,127
1,<environment.Job instance at 0x7f0cabf50eb0>,57,3,[4 9],87,142,145,55,129
1,<environment.Job instance at 0x7f0cabf50e60>,60,14,[ 3 10],92,145,159,53,132
1,<environment.Job instance at 0x7f0cac321b90>,6,22,[5 9],10,10,32,0,10
1,<environment.Job instance at 0x7f0cac321d70>,9,14,[1 5],16,32,46,16,17
1,<environment.Job instance at 0x7f0cac321690>,10,16,[1 9],18,46,62,28,33
1,<environment.Job instance at 0x7f0cac390d20>,27,17,[7 1],45,45,62,0,45
1,<environment.Job instance at 0x7f0cac205500>,41,17,[8 2],64,68,85,4,68
1,<environment.Job instance at 0x7f0cabf5e460>,50,28,[5 5],75,104,132,29,104
1,<environment.Job instance at 0x7f0cabf8feb0>,5,28,[2 8],6,12,40,6,12
1,<environment.Job instance at 0x7f0cac2a8460>,21,13,[6 2],29,29,42,0,29
1,<environment.Job instance at 0x7f0cac2a86e0>,23,1,[5 4],33,42,43,9,34
1,<environment.Job instance at 0x7f0cac2a8690>,25,18,[1 6],35,40,58,5,37
1,<environment.Job instance at 0x7f0cac2a8d20>,34,1,[10  4],45,58,59,13,47
1,<environment.Job instance at 0x7f0cabdc2050>,35,3,[6 4],46,49,52,3,49
1,<environment.Job instance at 0x7f0cac2a8910>,28,21,[8 5],38,59,80,21,55
1,<environment.Job instance at 0x7f0cabdc2460>,43,12,[8 2],58,80,92,22,71
1,<environment.Job instance at 0x7f0cabdc27d0>,45,13,[1 5],60,74,87,14,74
1,<environment.Job instance at 0x7f0cabdc2be0>,51,18,[3 6],68,92,110,24,86
1,<environment.Job instance at 0x7f0cabdc5410>,56,13,[3 8],77,110,123,33,104
1,<environment.Job instance at 0x7f0cabdc5960>,61,17,[5 9],84,123,140,39,112
1,<environment.Job instance at 0x7f0cabdc6050>,70,16,[3 9],98,140,156,42,127
1,<environment.Job instance at 0x7f0cac27cb90>,11,12,[9 1],13,18,30,5,18
1,<environment.Job instance at 0x7f0cac27c460>,12,13,[7 4],14,30,43,16,18
1,<environment.Job instance at 0x7f0cea10de60>,17,23,[5 7],21,43,66,22,41
1,<environment.Job instance at 0x7f0cac321c30>,45,21,[10  5],59,135,156,76,135
1,<environment.Job instance at 0x7f0cea10ddc0>,1,13,[9 4],2,2,15,0,2
1,<environment.Job instance at 0x7f0ce9cc95a0>,4,21,[2 6],5,15,36,10,7
1,<environment.Job instance at 0x7f0ce9f861e0>,17,13,[6 5],19,36,49,17,20
1,<environment.Job instance at 0x7f0cac04cfa0>,24,20,[9 5],32,49,69,17,40
1,<environment.Job instance at 0x7f0cea0874b0>,36,16,[7 4],58,69,85,11,60
1,<environment.Job instance at 0x7f0cea087820>,46,14,[5 4],71,85,99,14,71
1,<environment.Job instance at 0x7f0cabebbbe0>,52,1,[6 5],81,99,100,18,81
1,<environment.Job instance at 0x7f0cac3b20f0>,54,25,[ 1 10],86,100,125,14,98
1,<environment.Job instance at 0x7f0cac0ed4b0>,62,13,[7 1],103,125,138,22,117
1,<environment.Job instance at 0x7f0ce9eb9c80>,66,16,[3 5],107,125,141,18,117
1,<environment.Job instance at 0x7f0cac0a0c30>,1,18,[5 5],3,4,22,1,4
1,<environment.Job instance at 0x7f0ceadaa780>,6,2,[10  5],11,22,24,11,11
1,<environment.Job instance at 0x7f0cabe83fa0>,14,27,[1 6],24,24,51,0,24
1,<environment.Job instance at 0x7f0cabea4370>,17,2,[7 5],29,51,53,22,31
1,<environment.Job instance at 0x7f0cabea4a00>,26,17,[ 4 10],42,63,80,21,63
1,<environment.Job instance at 0x7f0cabea4cd0>,31,3,[7 1],47,80,83,33,69
1,<environment.Job instance at 0x7f0cabea4af0>,28,22,[3 9],44,80,102,36,73
1,<environment.Job instance at 0x7f0cabe89410>,42,18,[5 4],60,102,120,42,91
1,<environment.Job instance at 0x7f0cabe899b0>,47,3,[7 1],67,120,123,53,102
1,<environment.Job instance at 0x7f0cabe89af0>,49,13,[10  1],71,123,136,52,107
1,<environment.Job instance at 0x7f0cabe89d20>,50,2,[2 7],78,120,122,42,108
1,<environment.Job instance at 0x7f0cabe89eb0>,51,15,[8 1],79,136,151,57,123
1,<environment.Job instance at 0x7f0cabe89a50>,48,17,[2 7],69,136,153,67,127
1,<environment.Job instance at 0x7f0cabe9e7d0>,61,13,[8 2],93,151,164,58,135
1,<environment.Job instance at 0x7f0cabe9ed70>,2,14,[8 3],5,7,21,2,7
1,<environment.Job instance at 0x7f0cac281690>,10,18,[7 2],19,21,39,2,19
1,<environment.Job instance at 0x7f0cea066fa0>,12,3,[5 6],21,39,42,18,24
1,<environment.Job instance at 0x7f0cea066780>,18,19,[2 7],29,42,61,13,32
1,<environment.Job instance at 0x7f0ce99a60a0>,28,12,[5 4],42,61,73,19,56
1,<environment.Job instance at 0x7f0ce9ce4870>,29,15,[1 6],43,61,76,18,56
1,<environment.Job instance at 0x7f0cac546a00>,32,17,[5 2],46,73,90,27,61
1,<environment.Job instance at 0x7f0ce9b51a50>,40,17,[4 6],57,76,93,19,69
1,<environment.Job instance at 0x7f0ce9a24460>,43,20,[1 7],60,93,113,33,85
1,<environment.Job instance at 0x7f0ce99bea50>,48,18,[5 2],71,92,110,21,92
1,<environment.Job instance at 0x7f0cea05e0f0>,52,3,[5 7],75,113,116,38,113
1,<environment.Job instance at 0x7f0cea05efa0>,55,13,[5 5],81,116,129,35,113
1,<environment.Job instance at 0x7f0cac356640>,57,12,[1 7],88,129,141,41,113
1,<environment.Job instance at 0x7f0cea05e190>,54,13,[ 2 10],80,141,154,61,126
1,<environment.Job instance at 0x7f0cac0932d0>,1,16,[4 8],4,4,20,0,4
1,<environment.Job instance at 0x7f0ce9e912d0>,3,13,[2 9],6,20,33,14,6
1,<environment.Job instance at 0x7f0cac20c500>,11,3,[5 5],20,33,36,13,20
1,<environment.Job instance at 0x7f0cea6b4b90>,8,17,[1 8],16,36,53,20,25
1,<environment.Job instance at 0x7f0cea4ca140>,22,15,[3 6],33,53,68,20,47
1,<environment.Job instance at 0x7f0cac4899b0>,31,18,[10  4],50,68,86,18,57
1,<environment.Job instance at 0x7f0ce9d7a190>,34,18,[3 6],53,86,104,33,75
1,<environment.Job instance at 0x7f0ce9f2b910>,36,20,[10  2],56,104,124,48,95
1,<environment.Job instance at 0x7f0cea34a6e0>,44,2,[6 3],68,95,97,27,95
1,<environment.Job instance at 0x7f0cea34a3c0>,45,3,[6 2],71,97,100,26,95
1,<environment.Job instance at 0x7f0ce9e87c30>,50,1,[2 7],78,124,125,46,104
1,<environment.Job instance at 0x7f0ce9e878c0>,52,3,[2 6],80,125,128,45,105
1,<environment.Job instance at 0x7f0ce9e87640>,53,12,[4 8],81,128,140,47,111
1,<environment.Job instance at 0x7f0ce9e873c0>,57,2,[5 5],85,140,142,55,115
