iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x14b6e873aa50>,0,2,[10  2],1,8,10,7,5
1,<environment.Job instance at 0x14b6e79f3cd0>,4,3,[10  2],5,10,13,5,5
1,<environment.Job instance at 0x14b6e79f3eb0>,6,1,[5 2],7,13,14,6,7
1,<environment.Job instance at 0x14b6e79f3fa0>,8,17,[2 6],9,13,30,4,9
1,<environment.Job instance at 0x14b6e7a52370>,10,1,[7 1],11,14,15,3,11
1,<environment.Job instance at 0x14b6e7a59eb0>,2,2,[7 1],3,5,7,2,5
1,<environment.Job instance at 0x14b6e6d82d20>,4,1,[ 2 10],5,7,8,2,7
1,<environment.Job instance at 0x14b6e6d82e10>,5,1,[1 7],6,10,11,4,10
1,<environment.Job instance at 0x14b6e6d866e0>,13,3,[2 8],14,16,19,2,16
1,<environment.Job instance at 0x14b6e6d864b0>,10,1,[1 5],11,19,20,8,18
1,<environment.Job instance at 0x14b6e6d88690>,4,2,[5 1],5,5,7,0,5
1,<environment.Job instance at 0x14b6e61200a0>,9,2,[8 2],10,11,13,1,11
1,<environment.Job instance at 0x14b6e61203c0>,7,3,[2 5],8,11,14,3,11
1,<environment.Job instance at 0x14b6e6120d70>,10,14,[2 5],11,13,27,2,11
1,<environment.Job instance at 0x14b6e6257050>,12,1,[ 1 10],13,27,28,14,15
1,<environment.Job instance at 0x14b6e6257dc0>,0,1,[2 9],1,4,5,3,4
1,<environment.Job instance at 0x14b6e6257e60>,2,1,[1 7],3,5,6,2,4
1,<environment.Job instance at 0x14b6e6257fa0>,1,2,[2 5],2,6,8,4,4
1,<environment.Job instance at 0x14b6e8124780>,9,16,[8 1],10,11,27,1,11
1,<environment.Job instance at 0x14b6e80ea410>,4,15,[ 2 10],5,27,42,22,15
1,<environment.Job instance at 0x14b6e7ae4be0>,0,3,[1 9],1,4,7,3,4
1,<environment.Job instance at 0x14b6e5270370>,5,1,[1 9],6,9,10,3,9
1,<environment.Job instance at 0x14b6e52703c0>,8,18,[1 7],9,13,31,4,13
1,<environment.Job instance at 0x14b6e52704b0>,7,2,[7 2],8,13,15,5,13
1,<environment.Job instance at 0x14b6e5270af0>,12,2,[1 7],13,31,33,18,15
1,<environment.Job instance at 0x14b6e5270aa0>,10,15,[1 5],11,33,48,22,21
1,<environment.Job instance at 0x14b6e4781370>,6,3,[5 1],7,10,13,3,10
1,<environment.Job instance at 0x14b6e4845eb0>,10,1,[7 2],11,13,14,2,12
1,<environment.Job instance at 0x14b6e47894b0>,11,14,[5 2],12,14,28,2,12
1,<environment.Job instance at 0x14b6e4845f50>,12,3,[10  2],13,28,31,15,15
1,<environment.Job instance at 0x14b6e3a64fa0>,5,16,[2 9],6,6,22,0,6
1,<environment.Job instance at 0x14b6e3a68050>,6,2,[1 6],7,22,24,15,7
1,<environment.Job instance at 0x14b6e3a683c0>,9,2,[10  2],10,24,26,14,10
1,<environment.Job instance at 0x14b6e3a64f50>,10,14,[6 1],11,26,40,15,13
1,<environment.Job instance at 0x14b6e47d0190>,4,3,[7 2],5,40,43,35,16
1,<environment.Job instance at 0x14b6e81300f0>,1,3,[5 1],2,5,8,3,5
1,<environment.Job instance at 0x14b6e2f24190>,5,1,[1 6],6,7,8,1,7
1,<environment.Job instance at 0x14b6e2eea320>,8,20,[ 1 10],9,9,29,0,9
1,<environment.Job instance at 0x14b6e225f4b0>,4,13,[9 1],5,6,19,1,6
1,<environment.Job instance at 0x14b6e2f5e870>,0,12,[8 1],1,19,31,18,6
1,<environment.Job instance at 0x14b6e2eecb40>,5,12,[1 8],6,6,18,0,6
1,<environment.Job instance at 0x14b6e225fb40>,10,1,[8 1],11,31,32,20,12
1,<environment.Job instance at 0x14b6e225f910>,8,3,[8 2],9,32,35,23,12
1,<environment.Job instance at 0x14b6e225faa0>,11,2,[1 8],12,18,20,6,14
1,<environment.Job instance at 0x14b6e225fd70>,13,1,[9 2],14,35,36,21,22
1,<environment.Job instance at 0x14b6e5270a00>,1,27,[9 2],2,43,70,41,43
1,<environment.Job instance at 0x14b6e2fd8cd0>,1,3,[2 5],2,2,5,0,2
1,<environment.Job instance at 0x14b6e2261c30>,3,2,[9 1],4,5,7,1,5
1,<environment.Job instance at 0x14b6e2261a50>,2,1,[9 1],3,7,8,4,5
1,<environment.Job instance at 0x14b6e1772fa0>,10,3,[1 6],11,12,15,1,12
1,<environment.Job instance at 0x14b6e17c2af0>,2,18,[1 7],3,4,22,1,4
1,<environment.Job instance at 0x14b6e0add500>,5,16,[6 2],6,6,22,0,6
1,<environment.Job instance at 0x14b6e17c2d20>,3,2,[1 6],4,22,24,18,7
1,<environment.Job instance at 0x14b6e0adda00>,11,2,[2 9],12,24,26,12,12
1,<environment.Job instance at 0x14b6e0add280>,9,1,[2 9],10,26,27,16,14
1,<environment.Job instance at 0x14b6e0add7d0>,8,2,[6 1],9,22,24,13,17
1,<environment.Job instance at 0x14b6e0add960>,10,16,[1 9],11,27,43,16,17
1,<environment.Job instance at 0x14b6e0a5f9b0>,2,2,[10  2],3,5,7,2,5
1,<environment.Job instance at 0x14b6e0addaa0>,5,2,[8 2],6,7,9,1,7
1,<environment.Job instance at 0x14b6e2b559b0>,10,1,[1 5],11,13,14,2,13
1,<environment.Job instance at 0x14b6e2adef00>,2,2,[1 5],3,4,6,1,4
1,<environment.Job instance at 0x14b6e2adecd0>,1,3,[10  1],2,6,9,4,4
