iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x151a9911c730>,0,13,[ 2 10],1,2,15,1,2
1,<environment.Job instance at 0x151a9467ff50>,1,13,[1 5],2,2,15,0,2
1,<environment.Job instance at 0x151a9a0d6c30>,1,2,[2 5],4,4,6,0,4
1,<environment.Job instance at 0x151a9534ca00>,0,2,[1 7],1,1,3,0,1
1,<environment.Job instance at 0x151a9534c5f0>,3,16,[2 7],4,4,20,0,4
1,<environment.Job instance at 0x151a934f2e10>,1,2,[ 2 10],2,2,4,0,2
1,<environment.Job instance at 0x151a9bbc20a0>,0,3,[6 2],1,2,5,1,2
1,<environment.Job instance at 0x151a9534c690>,0,17,[1 7],2,2,19,0,2
1,<environment.Job instance at 0x151a93adb5f0>,1,2,[2 5],4,4,6,0,4
1,<environment.Job instance at 0x151a94fd6b40>,0,2,[1 7],1,1,3,0,1
1,<environment.Job instance at 0x151a94fd6410>,1,2,[6 1],2,2,4,0,2
1,<environment.Job instance at 0x151a94fec140>,3,16,[2 7],4,95,111,91,95
1,<environment.Job instance at 0x151a93d6edc0>,1,2,[ 2 10],2,4,6,2,4
1,<environment.Job instance at 0x151a98cabcd0>,0,3,[6 2],1,2,5,1,2
1,<environment.Job instance at 0x151a94c4cf50>,1,13,[1 5],2,2,15,0,2
1,<environment.Job instance at 0x151a921010f0>,2,1,[1 7],3,3,4,0,3
1,<environment.Job instance at 0x151a91e76550>,1,3,[6 1],3,3,6,0,3
1,<environment.Job instance at 0x151a97900c30>,1,2,[2 5],4,4,6,0,4
1,<environment.Job instance at 0x151a97e6a0a0>,0,2,[1 7],1,1,3,0,1
1,<environment.Job instance at 0x151a9a139320>,1,2,[6 1],2,2,4,0,2
1,<environment.Job instance at 0x151a98c67320>,3,16,[2 7],4,45,61,41,45
1,<environment.Job instance at 0x151a9320b050>,1,2,[ 2 10],2,2,4,0,2
1,<environment.Job instance at 0x151a927435f0>,0,3,[6 2],1,1,4,0,1
1,<environment.Job instance at 0x151a92743320>,2,1,[1 7],3,4,5,1,4
1,<environment.Job instance at 0x151a97732cd0>,1,2,[2 5],4,4,6,0,4
1,<environment.Job instance at 0x151a94f63e60>,0,2,[1 7],1,1,3,0,1
1,<environment.Job instance at 0x151a9504e2d0>,3,16,[2 7],4,6,22,2,6
1,<environment.Job instance at 0x151a918c2a00>,1,2,[ 2 10],2,2,4,0,2
1,<environment.Job instance at 0x151a918c2410>,2,1,[1 7],3,5,6,2,5
1,<environment.Job instance at 0x151a93e054b0>,1,2,[2 5],4,4,6,0,4
1,<environment.Job instance at 0x151a934a6e10>,0,2,[1 7],1,1,3,0,1
1,<environment.Job instance at 0x151a934a6be0>,1,2,[6 1],2,2,4,0,2
1,<environment.Job instance at 0x151a955b1550>,2,3,[9 1],3,3,6,0,3
1,<environment.Job instance at 0x151a931a6910>,1,2,[ 2 10],2,2,4,0,2
