iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x14cfb4a7a3c0>,2,1,[2 5],3,10,11,7,7
1,<environment.Job instance at 0x14cfb3db4370>,7,1,[2 6],8,11,12,3,8
1,<environment.Job instance at 0x14cfb4748eb0>,1,17,[6 1],3,6,23,3,6
1,<environment.Job instance at 0x14cfb34af190>,5,3,[6 1],9,23,26,14,10
1,<environment.Job instance at 0x14cfb28d8cd0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x14cfb1c92910>,6,16,[10  2],9,11,27,2,11
1,<environment.Job instance at 0x14cfb28d8d70>,3,1,[2 7],5,27,28,22,11
1,<environment.Job instance at 0x14cfb34eb230>,1,3,[1 9],2,2,5,0,2
1,<environment.Job instance at 0x14cfb34eb640>,2,1,[2 5],3,7,8,4,7
1,<environment.Job instance at 0x14cfb453b640>,3,1,[6 2],4,7,8,3,7
1,<environment.Job instance at 0x14cfb34eb500>,4,2,[7 2],5,8,10,3,8
1,<environment.Job instance at 0x14cfb4563e60>,7,1,[2 6],8,9,10,1,9
1,<environment.Job instance at 0x14cf88f30820>,1,17,[6 1],3,4,21,1,4
1,<environment.Job instance at 0x14cfb41811e0>,2,2,[10  1],5,21,23,16,9
1,<environment.Job instance at 0x14cf986951e0>,3,3,[6 2],6,23,26,17,9
1,<environment.Job instance at 0x14cfb3d4e960>,5,3,[6 1],9,26,29,17,10
1,<environment.Job instance at 0x14cfb49ac5f0>,3,1,[2 7],5,5,6,0,5
1,<environment.Job instance at 0x14cfb2eaeb90>,4,2,[2 7],6,9,11,3,9
1,<environment.Job instance at 0x14cfb3a6b280>,5,3,[10  2],8,12,15,4,12
1,<environment.Job instance at 0x14ad859eea50>,1,3,[1 9],2,7,10,5,7
1,<environment.Job instance at 0x14ad85a480a0>,2,1,[2 5],3,10,11,7,7
1,<environment.Job instance at 0x14ad84e01460>,7,1,[2 6],8,11,12,3,8
1,<environment.Job instance at 0x14ad84e019b0>,1,17,[6 1],3,6,23,3,6
1,<environment.Job instance at 0x14ad845daa00>,5,3,[6 1],9,23,26,14,10
1,<environment.Job instance at 0x14ad82ccc1e0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x14ad82d5a960>,6,16,[10  2],9,11,27,2,11
1,<environment.Job instance at 0x14ad838eb140>,3,1,[2 7],5,27,28,22,11
1,<environment.Job instance at 0x14ad8574bd70>,1,3,[1 9],2,2,5,0,2
1,<environment.Job instance at 0x14ad857c8be0>,2,1,[2 5],3,7,8,4,7
1,<environment.Job instance at 0x14ad857c83c0>,3,1,[6 2],4,7,8,3,7
1,<environment.Job instance at 0x14ad6132f280>,4,2,[7 2],5,8,10,3,8
1,<environment.Job instance at 0x14ad6132f050>,7,1,[2 6],8,9,10,1,9
1,<environment.Job instance at 0x14ad607acaf0>,1,17,[6 1],3,4,21,1,4
1,<environment.Job instance at 0x14ad6126d7d0>,2,2,[10  1],5,21,23,16,9
1,<environment.Job instance at 0x14ad61549e10>,3,3,[6 2],6,23,26,17,9
1,<environment.Job instance at 0x14ad612e70a0>,5,3,[6 1],9,26,29,17,10
1,<environment.Job instance at 0x14ad60896c80>,3,1,[2 7],5,5,6,0,5
1,<environment.Job instance at 0x14ad82dc4320>,4,2,[2 7],6,9,11,3,9
1,<environment.Job instance at 0x14ad85644190>,5,3,[10  2],8,12,15,4,12
1,<environment.Job instance at 0x14ad849c1050>,1,3,[1 9],2,2,5,0,2
1,<environment.Job instance at 0x14ad3b8cc8c0>,4,2,[7 2],5,6,8,1,6
1,<environment.Job instance at 0x14ad853b1500>,0,12,[2 5],1,6,18,5,6
1,<environment.Job instance at 0x14ad9668f500>,3,1,[6 2],4,8,9,4,6
1,<environment.Job instance at 0x14ad3b8ccf00>,7,1,[2 6],8,18,19,10,8
1,<environment.Job instance at 0x14ad849c1f50>,2,1,[2 5],3,9,10,6,9
1,<environment.Job instance at 0x14ad3b8f2230>,1,17,[6 1],3,4,21,1,4
1,<environment.Job instance at 0x14ad83994e60>,2,2,[10  1],5,21,23,16,9
1,<environment.Job instance at 0x14ad83994870>,3,3,[6 2],6,23,26,17,9
1,<environment.Job instance at 0x14ad85023a00>,5,3,[6 1],9,26,29,17,10
1,<environment.Job instance at 0x14ad82c266e0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x14ad82c09eb0>,6,16,[10  2],9,9,25,0,9
1,<environment.Job instance at 0x14ad82c26a00>,4,2,[2 7],6,25,27,19,12
1,<environment.Job instance at 0x14ad613ec960>,0,12,[2 5],1,2,14,1,2
1,<environment.Job instance at 0x14ad3bd0e5f0>,1,3,[1 9],2,14,17,12,7
1,<environment.Job instance at 0x14ad60bae640>,3,1,[6 2],4,7,8,3,7
1,<environment.Job instance at 0x14ad3bb26780>,4,2,[7 2],5,8,10,3,8
1,<environment.Job instance at 0x14ad60e54e10>,1,17,[6 1],3,4,21,1,4
1,<environment.Job instance at 0x14ad617c1730>,2,2,[10  1],5,21,23,16,9
1,<environment.Job instance at 0x14ad60624870>,3,3,[6 2],6,23,26,17,9
1,<environment.Job instance at 0x14ad60720960>,5,3,[6 1],9,26,29,17,10
1,<environment.Job instance at 0x14ad6128d4b0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x14ad6128d1e0>,6,16,[10  2],9,9,25,0,9
1,<environment.Job instance at 0x14ad3b7324b0>,0,12,[2 5],1,2,14,1,2
1,<environment.Job instance at 0x14ad83d46aa0>,1,3,[1 9],2,14,17,12,7
1,<environment.Job instance at 0x14ad3be809b0>,3,1,[6 2],4,7,8,3,7
1,<environment.Job instance at 0x14ad82a7d730>,8,13,[6 1],9,10,23,1,10
1,<environment.Job instance at 0x14ad82db1690>,5,3,[9 2],6,24,27,18,24
1,<environment.Job instance at 0x14ad8599e7d0>,3,3,[1 8],4,5,8,1,5
1,<environment.Job instance at 0x14ad8599eeb0>,4,2,[8 1],7,8,10,1,8
1,<environment.Job instance at 0x14ad8599e1e0>,1,17,[6 1],3,5,22,2,5
1,<environment.Job instance at 0x14ad61b69190>,3,3,[6 2],6,22,25,16,12
1,<environment.Job instance at 0x14ad840b88c0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x14ad834e1e60>,6,16,[10  2],9,11,27,2,11
