Heuristic,Metric,Value,Epoch
FCFS,MeanSlowdown,1.1875,1
FCFS,MaxRew,-8.061379139661227,1
FCFS,MeanRew_upper,-13.688513208246558,1
FCFS,MeanSlowdown,1.1875,2
FCFS,MaxRew,-8.061379139661227,2
FCFS,MeanRew_upper,-13.688513208246558,2
FCFS,MeanSlowdown,1.1875,3
FCFS,MaxRew,-8.061379139661227,3
FCFS,MeanRew_upper,-13.688513208246558,3
FCFS,MeanSlowdown,1.1875,4
FCFS,MaxRew,-8.061379139661227,4
FCFS,MeanRew_upper,-13.688513208246558,4
FCFS,MeanSlowdown,1.1875,5
FCFS,MaxRew,-8.061379139661227,5
FCFS,MeanRew_upper,-13.688513208246558,5
FCFS,MeanSlowdown,1.1875,6
FCFS,MaxRew,-8.061379139661227,6
FCFS,MeanRew_upper,-13.688513208246558,6
FCFS,MeanSlowdown,1.1875,7
FCFS,MaxRew,-8.061379139661227,7
FCFS,MeanRew_upper,-13.688513208246558,7
FCFS,MeanSlowdown,1.1875,8
FCFS,MaxRew,-8.061379139661227,8
FCFS,MeanRew_upper,-13.688513208246558,8
FCFS,MeanSlowdown,1.1875,9
FCFS,MaxRew,-8.061379139661227,9
FCFS,MeanRew_upper,-13.688513208246558,9
FCFS,MeanSlowdown,1.1875,10
FCFS,MaxRew,-8.061379139661227,10
FCFS,MeanRew_upper,-13.688513208246558,10
FCFS,MeanSlowdown,1.1875,11
FCFS,MaxRew,-8.061379139661227,11
FCFS,MeanRew_upper,-13.688513208246558,11
FCFS,MeanSlowdown,1.1875,12
FCFS,MaxRew,-8.061379139661227,12
FCFS,MeanRew_upper,-13.688513208246558,12
FCFS,MeanSlowdown,1.1875,13
FCFS,MaxRew,-8.061379139661227,13
FCFS,MeanRew_upper,-13.688513208246558,13
FCFS,MeanSlowdown,1.1875,14
FCFS,MaxRew,-8.061379139661227,14
FCFS,MeanRew_upper,-13.688513208246558,14
FCFS,MeanSlowdown,1.1875,15
FCFS,MaxRew,-8.061379139661227,15
FCFS,MeanRew_upper,-13.688513208246558,15
FCFS,MeanSlowdown,1.1875,16
FCFS,MaxRew,-8.061379139661227,16
FCFS,MeanRew_upper,-13.688513208246558,16
FCFS,MeanSlowdown,1.1875,17
FCFS,MaxRew,-8.061379139661227,17
FCFS,MeanRew_upper,-13.688513208246558,17
FCFS,MeanSlowdown,1.1875,18
FCFS,MaxRew,-8.061379139661227,18
FCFS,MeanRew_upper,-13.688513208246558,18
FCFS,MeanSlowdown,1.1875,19
FCFS,MaxRew,-8.061379139661227,19
FCFS,MeanRew_upper,-13.688513208246558,19
FCFS,MeanSlowdown,1.1875,20
FCFS,MaxRew,-8.061379139661227,20
FCFS,MeanRew_upper,-13.688513208246558,20
FCFS,MeanSlowdown,1.1875,21
FCFS,MaxRew,-8.061379139661227,21
FCFS,MeanRew_upper,-13.688513208246558,21
FCFS,MeanSlowdown,1.1875,22
FCFS,MaxRew,-8.061379139661227,22
FCFS,MeanRew_upper,-13.688513208246558,22
FCFS,MeanSlowdown,1.1875,23
FCFS,MaxRew,-8.061379139661227,23
FCFS,MeanRew_upper,-13.688513208246558,23
FCFS,MeanSlowdown,1.1875,24
FCFS,MaxRew,-8.061379139661227,24
FCFS,MeanRew_upper,-13.688513208246558,24
FCFS,MeanSlowdown,1.1875,25
FCFS,MaxRew,-8.061379139661227,25
FCFS,MeanRew_upper,-13.688513208246558,25
FCFS,MeanSlowdown,1.1875,26
FCFS,MaxRew,-8.061379139661227,26
FCFS,MeanRew_upper,-13.688513208246558,26
FCFS,MeanSlowdown,1.1875,27
FCFS,MaxRew,-8.061379139661227,27
FCFS,MeanRew_upper,-13.688513208246558,27
FCFS,MeanSlowdown,1.1875,28
FCFS,MaxRew,-8.061379139661227,28
FCFS,MeanRew_upper,-13.688513208246558,28
FCFS,MeanSlowdown,1.1875,29
FCFS,MaxRew,-8.061379139661227,29
FCFS,MeanRew_upper,-13.688513208246558,29
FCFS,MeanSlowdown,1.1875,30
FCFS,MaxRew,-8.061379139661227,30
FCFS,MeanRew_upper,-13.688513208246558,30
FCFS,MeanSlowdown,1.1875,31
FCFS,MaxRew,-8.061379139661227,31
FCFS,MeanRew_upper,-13.688513208246558,31
FCFS,MeanSlowdown,1.1875,32
FCFS,MaxRew,-8.061379139661227,32
FCFS,MeanRew_upper,-13.688513208246558,32
FCFS,MeanSlowdown,1.1875,33
FCFS,MaxRew,-8.061379139661227,33
FCFS,MeanRew_upper,-13.688513208246558,33
FCFS,MeanSlowdown,1.1875,34
FCFS,MaxRew,-8.061379139661227,34
FCFS,MeanRew_upper,-13.688513208246558,34
FCFS,MeanSlowdown,1.1875,35
FCFS,MaxRew,-8.061379139661227,35
FCFS,MeanRew_upper,-13.688513208246558,35
FCFS,MeanSlowdown,1.1875,36
FCFS,MaxRew,-8.061379139661227,36
FCFS,MeanRew_upper,-13.688513208246558,36
FCFS,MeanSlowdown,1.1875,37
FCFS,MaxRew,-8.061379139661227,37
FCFS,MeanRew_upper,-13.688513208246558,37
FCFS,MeanSlowdown,1.1875,38
FCFS,MaxRew,-8.061379139661227,38
FCFS,MeanRew_upper,-13.688513208246558,38
FCFS,MeanSlowdown,1.1875,39
FCFS,MaxRew,-8.061379139661227,39
FCFS,MeanRew_upper,-13.688513208246558,39
FCFS,MeanSlowdown,1.1875,40
FCFS,MaxRew,-8.061379139661227,40
FCFS,MeanRew_upper,-13.688513208246558,40
FCFS,MeanSlowdown,1.1875,41
FCFS,MaxRew,-8.061379139661227,41
FCFS,MeanRew_upper,-13.688513208246558,41
FCFS,MeanSlowdown,1.1875,42
FCFS,MaxRew,-8.061379139661227,42
FCFS,MeanRew_upper,-13.688513208246558,42
FCFS,MeanSlowdown,1.1875,43
FCFS,MaxRew,-8.061379139661227,43
FCFS,MeanRew_upper,-13.688513208246558,43
FCFS,MeanSlowdown,1.1875,44
FCFS,MaxRew,-8.061379139661227,44
FCFS,MeanRew_upper,-13.688513208246558,44
FCFS,MeanSlowdown,1.1875,45
FCFS,MaxRew,-8.061379139661227,45
FCFS,MeanRew_upper,-13.688513208246558,45
FCFS,MeanSlowdown,1.1875,46
FCFS,MaxRew,-8.061379139661227,46
FCFS,MeanRew_upper,-13.688513208246558,46
FCFS,MeanSlowdown,1.1875,47
FCFS,MaxRew,-8.061379139661227,47
FCFS,MeanRew_upper,-13.688513208246558,47
FCFS,MeanSlowdown,1.1875,48
FCFS,MaxRew,-8.061379139661227,48
FCFS,MeanRew_upper,-13.688513208246558,48
FCFS,MeanSlowdown,1.1875,49
FCFS,MaxRew,-8.061379139661227,49
FCFS,MeanRew_upper,-13.688513208246558,49
FCFS,MeanSlowdown,1.1875,50
FCFS,MaxRew,-8.061379139661227,50
FCFS,MeanRew_upper,-13.688513208246558,50
FCFS,MeanSlowdown,1.1875,51
FCFS,MaxRew,-8.061379139661227,51
FCFS,MeanRew_upper,-13.688513208246558,51
FCFS,MeanSlowdown,1.1875,52
FCFS,MaxRew,-8.061379139661227,52
FCFS,MeanRew_upper,-13.688513208246558,52
FCFS,MeanSlowdown,1.1875,53
FCFS,MaxRew,-8.061379139661227,53
FCFS,MeanRew_upper,-13.688513208246558,53
FCFS,MeanSlowdown,1.1875,54
FCFS,MaxRew,-8.061379139661227,54
FCFS,MeanRew_upper,-13.688513208246558,54
FCFS,MeanSlowdown,1.1875,55
FCFS,MaxRew,-8.061379139661227,55
FCFS,MeanRew_upper,-13.688513208246558,55
FCFS,MeanSlowdown,1.1875,56
FCFS,MaxRew,-8.061379139661227,56
FCFS,MeanRew_upper,-13.688513208246558,56
FCFS,MeanSlowdown,1.1875,57
FCFS,MaxRew,-8.061379139661227,57
FCFS,MeanRew_upper,-13.688513208246558,57
FCFS,MeanSlowdown,1.1875,58
FCFS,MaxRew,-8.061379139661227,58
FCFS,MeanRew_upper,-13.688513208246558,58
FCFS,MeanSlowdown,1.1875,59
FCFS,MaxRew,-8.061379139661227,59
FCFS,MeanRew_upper,-13.688513208246558,59
FCFS,MeanSlowdown,1.1875,60
FCFS,MaxRew,-8.061379139661227,60
FCFS,MeanRew_upper,-13.688513208246558,60
FCFS,MeanSlowdown,1.1875,61
FCFS,MaxRew,-8.061379139661227,61
FCFS,MeanRew_upper,-13.688513208246558,61
FCFS,MeanSlowdown,1.1875,62
FCFS,MaxRew,-8.061379139661227,62
FCFS,MeanRew_upper,-13.688513208246558,62
FCFS,MeanSlowdown,1.1875,63
FCFS,MaxRew,-8.061379139661227,63
FCFS,MeanRew_upper,-13.688513208246558,63
FCFS,MeanSlowdown,1.1875,64
FCFS,MaxRew,-8.061379139661227,64
FCFS,MeanRew_upper,-13.688513208246558,64
FCFS,MeanSlowdown,1.1875,65
FCFS,MaxRew,-8.061379139661227,65
FCFS,MeanRew_upper,-13.688513208246558,65
FCFS,MeanSlowdown,1.1875,66
FCFS,MaxRew,-8.061379139661227,66
FCFS,MeanRew_upper,-13.688513208246558,66
FCFS,MeanSlowdown,1.1875,67
FCFS,MaxRew,-8.061379139661227,67
FCFS,MeanRew_upper,-13.688513208246558,67
FCFS,MeanSlowdown,1.1875,68
FCFS,MaxRew,-8.061379139661227,68
FCFS,MeanRew_upper,-13.688513208246558,68
FCFS,MeanSlowdown,1.1875,69
FCFS,MaxRew,-8.061379139661227,69
FCFS,MeanRew_upper,-13.688513208246558,69
