Metric,Value,Timestamp,Epoch
NumTrajs,50.0,0,1
NumTimesteps,1842.0,0,1
MaxRew,-3.6957647066404307,0,1
MeanRew_lower,10.937553019483707,0,1
MeanRew_upper,-19.48050917827955,0,1
MeanSlowdown,3.41875,0,1
MeanLen+,36.84,0,1
MeanLen-,6.210829252201352,0,1
MeanEntropy,2.772582769393921,0,1
NumTrajs,50.0,0,2
NumTimesteps,1895.0,0,2
MaxRew,-1.6525882003336307,0,2
MeanRew_lower,11.283357502705117,0,2
MeanRew_upper,-18.607947844968745,0,2
MeanSlowdown,3.3625,0,2
MeanLen+,37.9,0,2
MeanLen-,6.478425734698207,0,2
MeanEntropy,2.7725300788879395,0,2
NumTrajs,50.0,0,3
NumTimesteps,1963.0,0,3
MaxRew,-3.309323823848789,0,3
MeanRew_lower,11.045252703410018,0,3
MeanRew_upper,-17.893110834661726,0,3
MeanSlowdown,3.421875,0,3
MeanLen+,39.26,0,3
MeanLen-,7.742893515992584,0,3
MeanEntropy,2.772264003753662,0,3
NumTrajs,50.0,0,4
NumTimesteps,1935.0,0,4
MaxRew,-4.528782137536327,0,4
MeanRew_lower,10.894675946999342,0,4
MeanRew_upper,-19.131605016255968,0,4
MeanSlowdown,3.6375,0,4
MeanLen+,38.7,0,4
MeanLen-,9.000555538409838,0,4
MeanEntropy,2.7718374729156494,0,4
NumTrajs,50.0,0,5
NumTimesteps,1894.0,0,5
MaxRew,-2.50938760988292,0,5
MeanRew_lower,12.21149148876322,0,5
MeanRew_upper,-18.199260372875273,0,5
MeanSlowdown,2.984375,0,5
MeanLen+,37.88,0,5
MeanLen-,7.350210881328508,0,5
MeanEntropy,2.771162748336792,0,5
NumTrajs,50.0,0,6
NumTimesteps,2049.0,0,6
MaxRew,-5.713613453250947,0,6
MeanRew_lower,9.027891476030348,0,6
MeanRew_upper,-18.33599780594058,0,6
MeanSlowdown,3.41875,0,6
MeanLen+,40.98,0,6
MeanLen-,8.324638130273293,0,6
MeanEntropy,2.7692198753356934,0,6
