iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x1490ed0308c0>,1,3,[1 9],2,13,16,11,2
1,<environment.Job instance at 0x1490ed030730>,2,1,[2 5],3,5,6,2,5
1,<environment.Job instance at 0x1490e7656cd0>,4,2,[7 2],5,11,13,6,11
1,<environment.Job instance at 0x1490e7722050>,12,3,[1 8],14,25,28,11,25
1,<environment.Job instance at 0x1490e76fefa0>,3,1,[2 5],6,7,8,1,7
1,<environment.Job instance at 0x1490ed03caa0>,0,2,[8 1],1,3,5,2,3
1,<environment.Job instance at 0x1490e6927d70>,2,2,[2 8],4,6,8,2,6
1,<environment.Job instance at 0x1490e55af460>,5,2,[2 7],7,9,11,2,9
1,<environment.Job instance at 0x1490e55af3c0>,7,15,[2 9],10,11,26,1,10
1,<environment.Job instance at 0x1490e55affa0>,9,3,[2 9],12,26,29,14,13
1,<environment.Job instance at 0x1490e5592b90>,10,1,[2 7],13,29,30,16,13
1,<environment.Job instance at 0x1490e4339050>,0,3,[10  2],3,10,13,7,10
1,<environment.Job instance at 0x1490e455dd70>,7,3,[7 2],12,13,16,1,12
1,<environment.Job instance at 0x1490e423e140>,6,1,[10  1],11,16,17,5,13
1,<environment.Job instance at 0x1490e4428820>,1,1,[1 6],3,3,4,0,3
1,<environment.Job instance at 0x1490e4860230>,3,16,[8 2],6,7,23,1,7
1,<environment.Job instance at 0x1490e805f2d0>,6,2,[1 7],12,12,14,0,12
1,<environment.Job instance at 0x1490e805fa00>,4,12,[9 1],8,23,35,15,12
1,<environment.Job instance at 0x1490ed016640>,0,12,[2 5],1,1,13,0,1
1,<environment.Job instance at 0x1490ed016af0>,2,1,[2 5],3,3,4,0,3
1,<environment.Job instance at 0x1490e8410820>,1,3,[1 9],2,13,16,11,5
1,<environment.Job instance at 0x1490e33fd730>,7,1,[2 6],8,16,17,8,11
1,<environment.Job instance at 0x1490e33fd640>,10,13,[2 8],12,17,30,5,16
1,<environment.Job instance at 0x1490e33fbaa0>,12,3,[1 8],14,30,33,16,16
1,<environment.Job instance at 0x1490e34c58c0>,3,1,[2 5],6,7,8,1,7
1,<environment.Job instance at 0x1490e34c55f0>,2,1,[ 1 10],5,8,9,3,8
1,<environment.Job instance at 0x1490e34fd960>,2,2,[2 8],4,4,6,0,4
1,<environment.Job instance at 0x1490e20773c0>,3,1,[2 7],5,7,8,2,7
1,<environment.Job instance at 0x1490e4d09aa0>,6,16,[10  2],9,10,26,1,10
1,<environment.Job instance at 0x1490e4d09730>,9,3,[2 9],12,26,29,14,12
1,<environment.Job instance at 0x1490e5a94b40>,4,3,[1 6],8,8,11,0,8
1,<environment.Job instance at 0x1490e5aa6f50>,8,3,[1 8],13,13,16,0,13
1,<environment.Job instance at 0x1490e5b3b690>,3,16,[8 2],6,6,22,0,6
1,<environment.Job instance at 0x1490e519bf00>,1,1,[1 6],3,6,7,3,6
1,<environment.Job instance at 0x1490e23ff640>,0,12,[2 5],1,1,13,0,1
1,<environment.Job instance at 0x1490e23ff0a0>,1,3,[1 9],2,13,16,11,2
1,<environment.Job instance at 0x1490e23ff460>,2,1,[2 5],3,5,6,2,5
