iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x1515eb9b5230>,5,3,[9 2],6,7,10,1,7
1,<environment.Job instance at 0x1515eb967aa0>,8,13,[6 1],9,10,23,1,9
1,<environment.Job instance at 0x1515eba27140>,2,3,[1 8],3,6,9,3,6
1,<environment.Job instance at 0x1515eb1425f0>,5,2,[ 1 10],8,14,16,6,14
1,<environment.Job instance at 0x1515ea4920f0>,3,3,[6 2],6,8,11,2,8
1,<environment.Job instance at 0x1515ea492690>,4,2,[ 1 13],7,10,12,3,10
1,<environment.Job instance at 0x1515ea448730>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x1515e9810aa0>,6,16,[10  2],9,12,28,3,12
1,<environment.Job instance at 0x1515e9810960>,1,3,[2 9],2,2,5,0,2
1,<environment.Job instance at 0x1515e9810aa0>,3,15,[11  1],4,20,35,16,20
1,<environment.Job instance at 0x1515a09a0410>,5,3,[9 2],6,6,9,0,6
1,<environment.Job instance at 0x1515a09a0460>,4,2,[7 2],5,9,11,4,7
1,<environment.Job instance at 0x1515a09a08c0>,8,13,[6 1],9,9,22,0,9
1,<environment.Job instance at 0x1515a09a1aa0>,3,3,[1 8],4,7,10,3,7
1,<environment.Job instance at 0x15159be92b40>,3,3,[6 2],6,8,11,2,8
1,<environment.Job instance at 0x15159be92a00>,4,2,[ 1 13],7,10,12,3,10
1,<environment.Job instance at 0x15159be923c0>,2,2,[2 8],4,5,7,1,5
1,<environment.Job instance at 0x1515ead37e10>,6,16,[10  2],9,12,28,3,12
1,<environment.Job instance at 0x1515eaeb20a0>,0,3,[9 2],1,2,5,1,2
1,<environment.Job instance at 0x1515eb087820>,3,15,[11  1],4,16,31,12,16
1,<environment.Job instance at 0x1515eb0875f0>,5,3,[10  2],8,31,34,23,20
1,<environment.Job instance at 0x1515ec1195a0>,2,1,[2 5],3,4,5,1,4
1,<environment.Job instance at 0x1515a3d285f0>,8,13,[6 1],9,9,22,0,9
1,<environment.Job instance at 0x1515a3d285a0>,5,3,[9 2],6,16,19,10,16
1,<environment.Job instance at 0x1515a3d28410>,1,13,[2 8],2,2,15,0,2
