Heuristic,Metric,Value,Epoch
SJF,MeanSlowdown,3.588235294117647,1
SJF,MaxRew,-11.006148337008856,1
SJF,MeanRew_upper,-15.99502914354176,1
SJF,MeanSlowdown,3.588235294117647,2
SJF,MaxRew,-11.006148337008856,2
SJF,MeanRew_upper,-15.99502914354176,2
SJF,MeanSlowdown,3.588235294117647,3
SJF,MaxRew,-11.006148337008856,3
SJF,MeanRew_upper,-15.99502914354176,3
SJF,MeanSlowdown,3.588235294117647,4
SJF,MaxRew,-11.006148337008856,4
SJF,MeanRew_upper,-15.99502914354176,4
SJF,MeanSlowdown,3.588235294117647,5
SJF,MaxRew,-11.006148337008856,5
SJF,MeanRew_upper,-15.99502914354176,5
SJF,MeanSlowdown,3.588235294117647,6
SJF,MaxRew,-11.006148337008856,6
SJF,MeanRew_upper,-15.99502914354176,6
SJF,MeanSlowdown,3.588235294117647,7
SJF,MaxRew,-11.006148337008856,7
SJF,MeanRew_upper,-15.99502914354176,7
SJF,MeanSlowdown,3.588235294117647,8
SJF,MaxRew,-11.006148337008856,8
SJF,MeanRew_upper,-15.99502914354176,8
SJF,MeanSlowdown,3.588235294117647,9
SJF,MaxRew,-11.006148337008856,9
SJF,MeanRew_upper,-15.99502914354176,9
SJF,MeanSlowdown,3.588235294117647,10
SJF,MaxRew,-11.006148337008856,10
SJF,MeanRew_upper,-15.99502914354176,10
SJF,MeanSlowdown,3.588235294117647,11
SJF,MaxRew,-11.006148337008856,11
SJF,MeanRew_upper,-15.99502914354176,11
SJF,MeanSlowdown,3.588235294117647,12
SJF,MaxRew,-11.006148337008856,12
SJF,MeanRew_upper,-15.99502914354176,12
SJF,MeanSlowdown,3.588235294117647,13
SJF,MaxRew,-11.006148337008856,13
SJF,MeanRew_upper,-15.99502914354176,13
SJF,MeanSlowdown,3.588235294117647,14
SJF,MaxRew,-11.006148337008856,14
SJF,MeanRew_upper,-15.99502914354176,14
SJF,MeanSlowdown,3.588235294117647,15
SJF,MaxRew,-11.006148337008856,15
SJF,MeanRew_upper,-15.99502914354176,15
SJF,MeanSlowdown,3.588235294117647,16
SJF,MaxRew,-11.006148337008856,16
SJF,MeanRew_upper,-15.99502914354176,16
SJF,MeanSlowdown,3.588235294117647,17
SJF,MaxRew,-11.006148337008856,17
SJF,MeanRew_upper,-15.99502914354176,17
SJF,MeanSlowdown,3.588235294117647,18
SJF,MaxRew,-11.006148337008856,18
SJF,MeanRew_upper,-15.99502914354176,18
SJF,MeanSlowdown,3.588235294117647,19
SJF,MaxRew,-11.006148337008856,19
SJF,MeanRew_upper,-15.99502914354176,19
SJF,MeanSlowdown,3.588235294117647,20
SJF,MaxRew,-11.006148337008856,20
SJF,MeanRew_upper,-15.99502914354176,20
SJF,MeanSlowdown,3.588235294117647,21
SJF,MaxRew,-11.006148337008856,21
SJF,MeanRew_upper,-15.99502914354176,21
SJF,MeanSlowdown,3.588235294117647,22
SJF,MaxRew,-11.006148337008856,22
SJF,MeanRew_upper,-15.99502914354176,22
SJF,MeanSlowdown,3.588235294117647,23
SJF,MaxRew,-11.006148337008856,23
SJF,MeanRew_upper,-15.99502914354176,23
SJF,MeanSlowdown,3.588235294117647,24
SJF,MaxRew,-11.006148337008856,24
SJF,MeanRew_upper,-15.99502914354176,24
SJF,MeanSlowdown,3.588235294117647,25
SJF,MaxRew,-11.006148337008856,25
SJF,MeanRew_upper,-15.99502914354176,25
SJF,MeanSlowdown,3.588235294117647,26
SJF,MaxRew,-11.006148337008856,26
SJF,MeanRew_upper,-15.99502914354176,26
SJF,MeanSlowdown,3.588235294117647,27
SJF,MaxRew,-11.006148337008856,27
SJF,MeanRew_upper,-15.99502914354176,27
SJF,MeanSlowdown,3.588235294117647,28
SJF,MaxRew,-11.006148337008856,28
SJF,MeanRew_upper,-15.99502914354176,28
SJF,MeanSlowdown,3.588235294117647,29
SJF,MaxRew,-11.006148337008856,29
