iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f5bd88ffdc0>,7,12,[7 2],8,26,38,18,24
1,<environment.Job instance at 0x7f5bd88fff00>,10,14,[1 6],11,26,40,15,24
1,<environment.Job instance at 0x7f5bd88ffe60>,11,1,[8 4],12,38,39,26,24
1,<environment.Job instance at 0x7f5bd89030f0>,13,15,[4 5],14,40,55,26,28
1,<environment.Job instance at 0x7f5bd88ffd20>,6,19,[1 7],7,55,74,48,45
1,<environment.Job instance at 0x7f5bddc558c0>,3,17,[4 5],4,5,22,1,5
1,<environment.Job instance at 0x7f5bddc55b40>,4,3,[1 7],5,22,25,17,6
1,<environment.Job instance at 0x7f5bddc56a50>,9,16,[8 1],10,29,45,19,29
1,<environment.Job instance at 0x7f5bddc56500>,8,17,[1 7],9,31,48,22,31
1,<environment.Job instance at 0x7f5bddc55460>,0,12,[6 1],1,45,57,44,31
1,<environment.Job instance at 0x7f5bddc56af0>,13,17,[9 2],14,57,74,43,47
1,<environment.Job instance at 0x7f5b92cae140>,5,18,[5 3],6,7,25,1,7
1,<environment.Job instance at 0x7f5b92cae2d0>,6,16,[7 3],7,25,41,18,13
1,<environment.Job instance at 0x7f5b92caeeb0>,8,15,[9 4],9,41,56,32,27
1,<environment.Job instance at 0x7f5b92cb2780>,13,12,[6 5],14,56,68,42,39
1,<environment.Job instance at 0x7f5b92cb24b0>,16,3,[1 6],17,49,52,32,49
1,<environment.Job instance at 0x7f5b92bab410>,6,16,[6 2],7,8,24,1,8
1,<environment.Job instance at 0x7f5b92bab7d0>,3,18,[5 5],4,25,43,21,25
1,<environment.Job instance at 0x7f5b92bab3c0>,9,14,[3 8],10,43,57,33,28
1,<environment.Job instance at 0x7f5b92babe60>,11,17,[3 8],12,57,74,45,45
1,<environment.Job instance at 0x7f5bd86f2af0>,8,17,[10  2],9,44,61,35,44
1,<environment.Job instance at 0x7f5bd905e280>,0,17,[2 6],1,6,23,5,6
1,<environment.Job instance at 0x7f5bd905e460>,4,18,[10  4],5,23,41,18,20
1,<environment.Job instance at 0x7f5bd8a7eeb0>,9,15,[5 7],10,41,56,31,27
1,<environment.Job instance at 0x7f5bd8a7e4b0>,6,12,[ 3 10],7,56,68,49,39
1,<environment.Job instance at 0x7f5b930fb0f0>,2,2,[8 1],3,6,8,3,6
1,<environment.Job instance at 0x7f5b930fb140>,3,1,[10  2],4,8,9,4,7
1,<environment.Job instance at 0x7f5bd8b8cd20>,6,14,[5 3],7,9,23,2,8
1,<environment.Job instance at 0x7f5bd91a15a0>,7,14,[8 5],8,48,62,40,48
1,<environment.Job instance at 0x7f5b92e55780>,14,1,[10  3],15,62,63,47,48
1,<environment.Job instance at 0x7f5b92e55500>,15,13,[7 1],16,63,76,47,48
1,<environment.Job instance at 0x7f5b93242eb0>,19,14,[2 9],20,63,77,43,49
1,<environment.Job instance at 0x7f5bd8d771e0>,4,14,[3 6],5,23,37,18,23
1,<environment.Job instance at 0x7f5b93242140>,1,17,[2 8],2,37,54,35,26
1,<environment.Job instance at 0x7f5bd8d84320>,8,16,[2 6],9,54,70,45,41
1,<environment.Job instance at 0x7f5b92dafb90>,4,12,[ 1 10],5,5,17,0,5
1,<environment.Job instance at 0x7f5b92daf640>,6,14,[9 5],7,27,41,20,27
1,<environment.Job instance at 0x7f5b92dafd70>,10,13,[1 6],11,41,54,30,27
1,<environment.Job instance at 0x7f5b92daffa0>,9,17,[2 8],10,54,71,44,42
1,<environment.Job instance at 0x7f5b93177b90>,5,14,[5 8],6,13,27,7,13
1,<environment.Job instance at 0x7f5bd95bdf00>,6,16,[2 5],7,24,40,17,24
1,<environment.Job instance at 0x7f5b929ea370>,11,20,[8 3],12,27,47,15,27
1,<environment.Job instance at 0x7f5bd89399b0>,2,14,[4 9],3,4,18,1,4
1,<environment.Job instance at 0x7f5bd8872280>,5,12,[4 8],6,25,37,19,25
1,<environment.Job instance at 0x7f5bd8939460>,1,17,[2 7],2,37,54,35,28
1,<environment.Job instance at 0x7f5b92c43640>,7,1,[4 9],8,21,22,13,21
1,<environment.Job instance at 0x7f5b92c43be0>,8,12,[3 5],9,43,55,34,43
1,<environment.Job instance at 0x7f5b92c43820>,4,17,[2 6],5,55,72,50,46
1,<environment.Job instance at 0x7f5b92b54320>,7,12,[1 7],8,10,22,2,10
1,<environment.Job instance at 0x7f5bd8878e60>,8,18,[5 5],9,24,42,15,24
1,<environment.Job instance at 0x7f5bddc084b0>,9,16,[5 5],10,24,40,14,24
1,<environment.Job instance at 0x7f5bd8edd7d0>,11,13,[3 9],12,42,55,30,26
1,<environment.Job instance at 0x7f5bd88ea960>,13,18,[1 5],14,55,73,41,44
1,<environment.Job instance at 0x7f5bd91f7640>,14,18,[9 5],15,55,73,40,46
1,<environment.Job instance at 0x7f5bd91f7370>,1,1,[ 5 10],2,17,18,15,17
1,<environment.Job instance at 0x7f5b9306d960>,10,12,[2 8],11,27,39,16,27
1,<environment.Job instance at 0x7f5bd8dd6730>,11,14,[ 1 10],12,39,53,27,27
1,<environment.Job instance at 0x7f5b9306d190>,14,14,[1 7],15,53,67,38,43
1,<environment.Job instance at 0x7f5bd8ff4780>,2,12,[7 3],3,5,17,2,5
1,<environment.Job instance at 0x7f5bd8f93820>,7,2,[5 7],8,17,19,9,8
