iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7f9823b1cc30>,0,28,[9 3],1,1,29,1
<environment.Job instance at 0x7f981a4069b0>,3,3,[ 4 14],4,29,32,4
<environment.Job instance at 0x7f981a406be0>,4,14,[1 6],5,7,21,7
<environment.Job instance at 0x7f981a406c80>,6,20,[6 1],7,21,41,13
<environment.Job instance at 0x7f981a406c30>,5,24,[1 5],6,32,56,27
<environment.Job instance at 0x7f981a406dc0>,9,18,[ 2 13],10,56,74,45
<environment.Job instance at 0x7f981a392050>,0,16,[ 2 11],1,1,17,1
<environment.Job instance at 0x7f981a55c820>,1,16,[12  2],2,2,18,2
<environment.Job instance at 0x7f981a55c960>,4,17,[5 7],5,18,35,7
<environment.Job instance at 0x7f981a55c690>,7,17,[8 5],8,18,35,8
<environment.Job instance at 0x7f981a55c4b0>,8,18,[2 8],9,35,53,24
<environment.Job instance at 0x7f981a55cf50>,9,14,[2 7],10,35,49,24
<environment.Job instance at 0x7f981a55c500>,10,17,[1 6],11,49,66,37
<environment.Job instance at 0x7f981a55cf00>,11,23,[1 5],12,53,76,47
<environment.Job instance at 0x7f981a55c550>,12,3,[5 5],13,66,69,47
<environment.Job instance at 0x7f981a55c2d0>,13,14,[8 1],14,49,63,47
<environment.Job instance at 0x7f981a55cdc0>,2,20,[5 3],3,53,73,48
<environment.Job instance at 0x7f981a3fb820>,15,2,[10  4],16,73,75,48
<environment.Job instance at 0x7f9819ae75a0>,0,19,[8 2],1,1,20,1
<environment.Job instance at 0x7f9819ad6c80>,1,12,[8 1],2,20,32,3
<environment.Job instance at 0x7f9819ae7230>,2,27,[5 6],3,18,45,18
<environment.Job instance at 0x7f9819ad6280>,6,17,[ 5 13],7,45,62,35
<environment.Job instance at 0x7f9819ad6dc0>,8,12,[ 3 10],9,62,74,45
<environment.Job instance at 0x7f981a078cd0>,0,3,[1 7],1,1,4,1
<environment.Job instance at 0x7f981a078fa0>,1,3,[4 7],2,2,5,2
<environment.Job instance at 0x7f981a0781e0>,2,14,[13  4],3,5,19,3
<environment.Job instance at 0x7f981a078460>,3,3,[5 2],4,19,22,4
<environment.Job instance at 0x7f981a4bfaa0>,7,1,[ 2 14],8,22,23,9
<environment.Job instance at 0x7f9819db8cd0>,8,17,[5 5],9,23,40,11
<environment.Job instance at 0x7f9819fd3780>,9,17,[3 7],10,23,40,11
<environment.Job instance at 0x7f9819b1a320>,6,17,[7 1],7,19,36,13
<environment.Job instance at 0x7f9819e3d910>,11,18,[1 9],12,40,58,29
<environment.Job instance at 0x7f9819e473c0>,13,13,[7 5],14,40,53,29
<environment.Job instance at 0x7f9819e47410>,14,14,[13  3],15,53,67,38
<environment.Job instance at 0x7f9819e47500>,15,3,[10  1],16,67,70,42
<environment.Job instance at 0x7f9819b5a640>,16,3,[ 2 12],17,58,61,42
<environment.Job instance at 0x7f9819aa87d0>,0,2,[7 5],1,1,3,1
<environment.Job instance at 0x7f981b018370>,1,14,[2 7],2,3,17,3
<environment.Job instance at 0x7f9819961e60>,3,3,[7 5],4,4,7,4
<environment.Job instance at 0x7f9819961f00>,4,28,[2 7],5,7,35,6
<environment.Job instance at 0x7f9819961cd0>,6,22,[6 1],7,7,29,7
<environment.Job instance at 0x7f9819965050>,7,15,[3 7],8,17,32,8
<environment.Job instance at 0x7f98199651e0>,8,2,[5 2],9,32,34,9
<environment.Job instance at 0x7f9819965320>,11,1,[ 2 14],12,35,36,12
<environment.Job instance at 0x7f98199650f0>,12,2,[12  2],13,36,38,13
<environment.Job instance at 0x7f98199654b0>,13,2,[5 9],14,38,40,14
<environment.Job instance at 0x7f9819965460>,14,13,[9 4],15,38,51,22
<environment.Job instance at 0x7f9819965190>,15,16,[11  1],16,51,67,45
<environment.Job instance at 0x7f9819965640>,16,17,[3 8],17,45,62,45
<environment.Job instance at 0x7f98199cdf50>,0,3,[11  3],1,1,4,1
<environment.Job instance at 0x7f98199655f0>,1,27,[ 4 13],2,4,31,2
<environment.Job instance at 0x7f98199cdf00>,6,3,[9 1],7,7,10,7
<environment.Job instance at 0x7f9819951190>,7,17,[5 2],8,10,27,8
<environment.Job instance at 0x7f9819951410>,8,18,[4 5],9,31,49,20
<environment.Job instance at 0x7f98199cdbe0>,9,1,[5 4],10,31,32,20
<environment.Job instance at 0x7f98199cde10>,4,14,[5 5],5,31,45,24
<environment.Job instance at 0x7f98199515a0>,11,1,[ 2 10],12,45,46,26
<environment.Job instance at 0x7f98199cd1e0>,5,16,[14  1],6,49,65,37
<environment.Job instance at 0x7f9819951b90>,13,2,[4 7],14,46,48,37
<environment.Job instance at 0x7f98199513c0>,14,12,[13  2],15,65,77,48
<environment.Job instance at 0x7f98199517d0>,15,24,[1 5],16,48,72,48
<environment.Job instance at 0x7f981ab13e10>,0,25,[4 5],1,1,26,1
<environment.Job instance at 0x7f9819951d20>,1,25,[6 3],2,2,27,2
<environment.Job instance at 0x7f981ab131e0>,2,2,[11  1],3,27,29,4
<environment.Job instance at 0x7f981ab13a00>,5,2,[5 5],6,7,9,7
<environment.Job instance at 0x7f981ab13870>,6,13,[ 1 13],7,27,40,11
