iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x7f8040f01dc0>,6,20,[6 1],7,120,140,113,120
1,<environment.Job instance at 0x7f8040f04050>,14,13,[7 3],15,140,153,125,125
1,<environment.Job instance at 0x7f8046255050>,6,12,[3 6],7,7,19,0,7
1,<environment.Job instance at 0x7f80462559b0>,9,17,[1 6],10,52,69,42,52
1,<environment.Job instance at 0x7f804633a9b0>,21,28,[5 1],22,172,200,150,172
1,<environment.Job instance at 0x7f804633a550>,24,27,[1 6],25,188,215,163,188
1,<environment.Job instance at 0x7f804633a550>,4,12,[4 6],5,5,17,0,5
1,<environment.Job instance at 0x7f7ffb200c80>,9,14,[10  4],10,25,39,15,25
1,<environment.Job instance at 0x7f7ffb223eb0>,15,16,[7 5],16,117,133,101,117
1,<environment.Job instance at 0x7f7ffb6589b0>,13,13,[3 5],14,75,88,61,75
1,<environment.Job instance at 0x7f7ffb658140>,12,13,[3 8],13,88,101,75,75
1,<environment.Job instance at 0x7f7ffb658960>,16,20,[1 5],17,101,121,84,98
1,<environment.Job instance at 0x7f7ffb5b3c30>,5,16,[2 8],6,29,45,23,29
1,<environment.Job instance at 0x7f7ffb5f1e10>,2,14,[5 5],3,3,17,0,3
1,<environment.Job instance at 0x7f80462a00f0>,5,19,[9 4],6,20,39,14,20
1,<environment.Job instance at 0x7f80412bd640>,10,14,[2 7],11,44,58,33,44
1,<environment.Job instance at 0x7f7ffb60b8c0>,2,17,[9 4],3,8,25,5,8
1,<environment.Job instance at 0x7f8045b1e280>,4,15,[5 5],5,5,20,0,5
1,<environment.Job instance at 0x7f7ffb24c230>,6,16,[3 9],7,20,36,13,10
1,<environment.Job instance at 0x7f8045a5d960>,5,14,[ 2 10],6,6,20,0,6
1,<environment.Job instance at 0x7f8045a5d460>,9,14,[ 5 10],10,41,55,31,41
1,<environment.Job instance at 0x7f8045a5dcd0>,10,16,[5 9],11,124,140,113,124
1,<environment.Job instance at 0x7f8040fbc500>,17,14,[6 4],18,140,154,122,125
1,<environment.Job instance at 0x7f8040cfb960>,8,12,[8 5],9,46,58,37,46
1,<environment.Job instance at 0x7f8040f07f00>,6,14,[ 4 10],7,58,72,51,50
1,<environment.Job instance at 0x7f804589efa0>,13,16,[6 3],14,72,88,58,68
1,<environment.Job instance at 0x7f7ffaf8ffa0>,0,15,[5 1],1,25,40,24,25
1,<environment.Job instance at 0x7f7ffb7be320>,6,14,[5 9],7,26,40,19,26
1,<environment.Job instance at 0x7f8040e7f730>,8,12,[2 5],9,114,126,105,114
1,<environment.Job instance at 0x7f8045b60d70>,26,18,[6 4],27,279,297,252,279
1,<environment.Job instance at 0x7f80458e59b0>,33,15,[ 3 10],34,334,349,300,334
1,<environment.Job instance at 0x7f8040ec9280>,8,17,[7 1],9,28,45,19,28
1,<environment.Job instance at 0x7f8040ec95f0>,13,26,[1 6],14,1911,1937,1897,1911
1,<environment.Job instance at 0x7f8041056730>,17,16,[ 4 10],18,1959,1975,1941,1959
1,<environment.Job instance at 0x7f8041246b40>,7,13,[9 4],8,9,22,1,9
1,<environment.Job instance at 0x7f8041246280>,9,15,[7 3],10,22,37,12,10
1,<environment.Job instance at 0x7f8041056dc0>,6,20,[3 6],7,22,42,15,13
1,<environment.Job instance at 0x7f8041246c30>,13,15,[4 9],14,42,57,28,28
1,<environment.Job instance at 0x7f8041246550>,17,25,[2 6],18,57,82,39,54
1,<environment.Job instance at 0x7f8041246e10>,20,15,[6 3],21,66,81,45,66
1,<environment.Job instance at 0x7f8041246dc0>,21,15,[3 9],22,82,97,60,68
1,<environment.Job instance at 0x7f7ffb6d8d70>,1,20,[5 6],2,56,76,54,56
1,<environment.Job instance at 0x7f7ffb2bfcd0>,8,17,[5 5],9,76,93,67,76
1,<environment.Job instance at 0x7f7ffb2b44b0>,0,18,[1 5],1,5,23,4,5
1,<environment.Job instance at 0x7f8040e510f0>,12,12,[8 4],13,67,79,54,67
1,<environment.Job instance at 0x7f8040e42280>,21,16,[4 6],22,161,177,139,161
1,<environment.Job instance at 0x7f8041237af0>,8,16,[1 5],9,46,62,37,46
1,<environment.Job instance at 0x7f8041212280>,5,17,[3 6],6,115,132,109,115
1,<environment.Job instance at 0x7f8046254f00>,14,13,[6 5],15,132,145,117,116
1,<environment.Job instance at 0x7f8045b6ba00>,7,17,[5 4],8,45,62,37,45
1,<environment.Job instance at 0x7f7ffb5d9b40>,4,15,[4 6],5,45,60,40,45
1,<environment.Job instance at 0x7f8045b6ba50>,8,14,[8 1],9,68,82,59,68
1,<environment.Job instance at 0x7f7ffb8374b0>,12,16,[6 5],13,74,90,61,74
1,<environment.Job instance at 0x7f7ffb837c30>,13,14,[5 4],14,90,104,76,75
1,<environment.Job instance at 0x7f80458125f0>,8,19,[7 2],9,47,66,38,47
1,<environment.Job instance at 0x7f8040f0ae10>,12,14,[5 5],13,92,106,79,92
1,<environment.Job instance at 0x7f8040f0ae60>,15,16,[6 1],16,117,133,101,117
1,<environment.Job instance at 0x7f6fd83c6d20>,6,20,[6 1],7,70,90,63,70
1,<environment.Job instance at 0x7f6fd83c9280>,14,13,[7 3],15,122,135,107,122
1,<environment.Job instance at 0x7f6fdd7d4550>,0,13,[9 3],1,135,148,134,122
1,<environment.Job instance at 0x7f6fd83c9690>,23,18,[2 7],24,1513,1531,1489,1513
1,<environment.Job instance at 0x7f6fdd94a6e0>,5,20,[2 6],6,51,71,45,51
1,<environment.Job instance at 0x7f6fdd94fe10>,16,19,[4 8],17,124,143,107,124
1,<environment.Job instance at 0x7f6fdd94ff00>,19,13,[9 4],20,143,156,123,135
1,<environment.Job instance at 0x7f6fdd94fd20>,21,15,[5 9],22,156,171,134,142
1,<environment.Job instance at 0x7f6fdd94fbe0>,22,16,[ 4 10],23,171,187,148,160
1,<environment.Job instance at 0x7f6fdd800aa0>,29,16,[7 1],30,226,242,196,226
1,<environment.Job instance at 0x7f6f92698870>,9,17,[8 1],10,27,44,17,27
1,<environment.Job instance at 0x7f6f92698690>,10,18,[6 1],11,44,62,33,33
1,<environment.Job instance at 0x7f6f92698960>,20,13,[7 4],21,175,188,154,175
1,<environment.Job instance at 0x7f6f9276eb40>,4,20,[5 2],5,5,25,0,5
1,<environment.Job instance at 0x7f6f92751d70>,12,12,[1 7],13,93,105,80,93
1,<environment.Job instance at 0x7f6f92a279b0>,20,14,[2 7],21,215,229,194,215
1,<environment.Job instance at 0x7f6f92d842d0>,20,14,[2 7],21,238,252,217,238
1,<environment.Job instance at 0x7f6f92d844b0>,21,15,[4 8],22,252,267,230,242
1,<environment.Job instance at 0x7f6f9285b6e0>,7,16,[5 8],8,8,24,0,8
1,<environment.Job instance at 0x7f6f929961e0>,4,18,[8 3],5,47,65,42,47
1,<environment.Job instance at 0x7f6fd87170f0>,18,14,[7 5],19,156,170,137,156
1,<environment.Job instance at 0x7f6f92c2d870>,16,14,[5 7],17,199,213,182,199
1,<environment.Job instance at 0x7f6f92c2d5f0>,12,15,[5 8],13,213,228,200,200
1,<environment.Job instance at 0x7f6f92c2dcd0>,23,12,[10  3],24,260,272,236,260
1,<environment.Job instance at 0x7f6f92c2dbe0>,27,14,[5 6],28,2472,2486,2444,2472
1,<environment.Job instance at 0x7f6f92c0c5a0>,8,19,[1 5],9,16,35,7,16
1,<environment.Job instance at 0x7f6f92c0cd70>,5,13,[6 4],6,17,30,11,17
1,<environment.Job instance at 0x7f6fdd8001e0>,11,13,[6 5],12,30,43,18,17
1,<environment.Job instance at 0x7f6f92c0ccd0>,6,14,[10  3],7,63,77,56,63
1,<environment.Job instance at 0x7f6fdaab4960>,17,15,[9 5],18,115,130,97,115
1,<environment.Job instance at 0x7f6f9275fd70>,10,18,[10  4],11,165,183,154,165
1,<environment.Job instance at 0x7f6f929b36e0>,28,12,[2 5],29,211,223,182,211
1,<environment.Job instance at 0x7f6fdaecfa00>,29,16,[6 5],30,211,227,181,211
1,<environment.Job instance at 0x7f6fd8684500>,36,18,[7 5],37,281,299,244,281
1,<environment.Job instance at 0x7f6fd86842d0>,37,18,[5 9],38,299,317,261,288
1,<environment.Job instance at 0x7f6fd873ab40>,41,12,[10  2],42,347,359,305,347
1,<environment.Job instance at 0x7f6fd8350730>,9,17,[5 9],10,117,134,107,117
1,<environment.Job instance at 0x7f6f928a5aa0>,8,17,[7 1],9,28,45,19,28
1,<environment.Job instance at 0x7f6f929fc7d0>,3,15,[4 9],4,4,19,0,4
1,<environment.Job instance at 0x7f6fd84c0140>,9,18,[1 9],10,19,37,9,10
1,<environment.Job instance at 0x7f6fd84c0910>,8,17,[5 2],9,37,54,28,31
1,<environment.Job instance at 0x7f6fd84c09b0>,10,15,[6 3],11,54,69,43,48
1,<environment.Job instance at 0x7f6fdaa17d70>,7,13,[7 4],8,8,21,0,8
1,<environment.Job instance at 0x7f6f92c1bbe0>,10,15,[5 2],11,21,36,10,21
1,<environment.Job instance at 0x7f6f92c1b500>,17,14,[2 6],18,118,132,100,118
1,<environment.Job instance at 0x7f6f92c8b190>,27,20,[3 7],28,489,509,461,489
1,<environment.Job instance at 0x7f6f92c8baf0>,30,18,[1 5],31,811,829,780,811
1,<environment.Job instance at 0x7f6f9265e5f0>,9,17,[1 6],10,221,238,211,221
1,<environment.Job instance at 0x7f6f9266cf00>,25,17,[3 6],26,330,347,304,330
1,<environment.Job instance at 0x7f6fd81d8550>,34,13,[6 5],35,424,437,389,424
1,<environment.Job instance at 0x7f6f9240e5f0>,3,14,[7 2],4,4,18,0,4
1,<environment.Job instance at 0x7f6f923a3aa0>,11,14,[3 8],12,57,71,45,57
1,<environment.Job instance at 0x7f6f923a3a50>,12,16,[6 5],13,71,87,58,69
1,<environment.Job instance at 0x7f6fd8369820>,10,12,[6 3],11,28,40,17,28
1,<environment.Job instance at 0x7f6f925e7230>,7,18,[8 3],8,43,61,35,43
1,<environment.Job instance at 0x7f6f925e70f0>,11,19,[6 1],12,65,84,53,65
1,<environment.Job instance at 0x7f6f925e7190>,1,14,[5 7],2,259,273,257,259
1,<environment.Job instance at 0x7f6f9262ae10>,23,14,[10  4],24,277,291,253,277
1,<environment.Job instance at 0x7f6fdadff2d0>,28,19,[3 6],29,321,340,292,321
1,<environment.Job instance at 0x7f6fdadffbe0>,35,12,[8 3],36,340,352,304,327
1,<environment.Job instance at 0x7f6fdadffaf0>,32,18,[5 2],33,363,381,330,363
1,<environment.Job instance at 0x7f6fdadffaa0>,40,13,[9 1],41,381,394,340,368
1,<environment.Job instance at 0x7f6fdafc1910>,45,12,[3 5],46,417,429,371,417
1,<environment.Job instance at 0x7f6fdabb7b40>,4,12,[8 3],5,5,17,0,5
1,<environment.Job instance at 0x7f6f92cd9370>,0,12,[9 5],1,17,29,16,9
1,<environment.Job instance at 0x7f6fdabb7190>,7,14,[9 5],8,29,43,21,22
1,<environment.Job instance at 0x7f6fdabb7870>,5,18,[ 2 10],6,43,61,37,41
1,<environment.Job instance at 0x7fd499b405a0>,6,20,[6 1],7,68,88,61,68
1,<environment.Job instance at 0x7fd49ef4f190>,0,13,[9 3],1,96,109,95,96
1,<environment.Job instance at 0x7fd499b40aa0>,14,13,[7 3],15,109,122,94,96
1,<environment.Job instance at 0x7fd49f0b5eb0>,6,19,[4 8],7,45,64,38,45
1,<environment.Job instance at 0x7fd49f0bcdc0>,8,12,[10  2],9,64,76,55,47
1,<environment.Job instance at 0x7fd49f0bc1e0>,10,14,[2 6],11,76,90,65,66
1,<environment.Job instance at 0x7fd49f0c2460>,25,15,[5 7],26,177,192,151,177
1,<environment.Job instance at 0x7fd49f0c1aa0>,28,17,[5 5],29,231,248,202,231
1,<environment.Job instance at 0x7fd49f0c1f50>,30,18,[2 7],31,257,275,226,257
1,<environment.Job instance at 0x7fd453e31820>,9,15,[10  4],10,72,87,62,72
1,<environment.Job instance at 0x7fd453e294b0>,16,14,[9 5],17,162,176,145,162
1,<environment.Job instance at 0x7fd453e29b40>,19,15,[1 7],20,211,226,191,211
1,<environment.Job instance at 0x7fd453e29af0>,22,13,[3 8],23,237,250,214,237
