iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x14706cc04500>,18,3,[1 6],19,95,98,76,95
1,<environment.Job instance at 0x14706cc042d0>,20,3,[7 1],21,98,101,77,98
1,<environment.Job instance at 0x14706cd2f5f0>,36,27,[10  2],37,170,197,133,170
1,<environment.Job instance at 0x14706cd2efa0>,4,22,[9 1],5,24,46,19,24
1,<environment.Job instance at 0x14706cc30050>,26,14,[9 1],27,196,210,169,196
1,<environment.Job instance at 0x14706bf93f50>,31,2,[9 2],32,210,212,178,200
1,<environment.Job instance at 0x14706c13f4b0>,34,14,[7 1],35,212,226,177,201
1,<environment.Job instance at 0x14706c13f9b0>,35,20,[2 9],36,215,235,179,215
1,<environment.Job instance at 0x14706bfada50>,44,3,[6 2],45,290,293,245,290
1,<environment.Job instance at 0x14706cc112d0>,8,18,[6 2],9,10,28,1,10
1,<environment.Job instance at 0x14706bfa7a50>,15,25,[2 7],16,46,71,30,46
1,<environment.Job instance at 0x14706cc19eb0>,0,20,[10  2],1,71,91,70,63
1,<environment.Job instance at 0x14706ad09690>,25,17,[5 1],26,91,108,65,85
1,<environment.Job instance at 0x14706ad77780>,39,3,[1 7],40,180,183,140,180
1,<environment.Job instance at 0x14706bfcea50>,10,20,[6 1],11,28,48,17,28
1,<environment.Job instance at 0x14706bfab4b0>,12,1,[6 2],13,48,49,35,37
1,<environment.Job instance at 0x14706bfa7e60>,14,26,[2 9],15,54,80,39,54
1,<environment.Job instance at 0x14706ad7bc80>,15,15,[8 1],16,56,71,40,56
1,<environment.Job instance at 0x147069985dc0>,25,19,[7 1],26,152,171,126,152
1,<environment.Job instance at 0x147069985be0>,29,28,[9 1],30,174,202,144,174
1,<environment.Job instance at 0x14706998ab90>,0,17,[1 7],1,2,19,1,2
1,<environment.Job instance at 0x14706ac54640>,14,27,[2 7],15,54,81,39,54
1,<environment.Job instance at 0x14706cc19050>,16,20,[2 5],17,81,101,64,75
1,<environment.Job instance at 0x14706ad66410>,22,20,[7 2],23,88,108,65,88
1,<environment.Job instance at 0x147069962190>,23,20,[1 6],24,112,132,88,112
1,<environment.Job instance at 0x147068661aa0>,28,25,[5 2],29,135,160,106,135
1,<environment.Job instance at 0x147068762fa0>,34,2,[1 6],35,140,142,105,140
1,<environment.Job instance at 0x1470686162d0>,32,15,[1 9],33,219,234,186,219
1,<environment.Job instance at 0x147068765500>,45,20,[9 1],46,222,242,176,222
1,<environment.Job instance at 0x147068765190>,46,21,[1 7],47,249,270,202,249
1,<environment.Job instance at 0x14706acaf230>,2,26,[ 1 10],3,6,32,3,6
1,<environment.Job instance at 0x147069957f00>,10,21,[6 2],11,33,54,22,33
1,<environment.Job instance at 0x1470687156e0>,15,19,[10  2],16,82,101,66,82
1,<environment.Job instance at 0x14706b49daa0>,28,21,[2 6],29,104,125,75,104
1,<environment.Job instance at 0x14706b443d20>,29,19,[2 9],30,125,144,95,124
1,<environment.Job instance at 0x14706b4f25a0>,33,22,[6 2],34,144,166,110,141
1,<environment.Job instance at 0x14706bd9ed70>,35,1,[2 7],36,145,146,109,145
1,<environment.Job instance at 0x14706870f6e0>,5,22,[2 5],6,15,37,9,15
1,<environment.Job instance at 0x14706b5ec870>,11,25,[2 7],12,37,62,25,36
1,<environment.Job instance at 0x14706b57fdc0>,18,3,[1 8],19,63,66,44,63
1,<environment.Job instance at 0x14706b47dc30>,15,15,[2 8],16,66,81,50,66
1,<environment.Job instance at 0x14706bd6b0f0>,22,16,[2 8],23,81,97,58,70
1,<environment.Job instance at 0x147067aa2140>,26,25,[10  2],27,97,122,70,97
1,<environment.Job instance at 0x147067c562d0>,31,3,[7 1],32,122,125,90,114
1,<environment.Job instance at 0x147067ba08c0>,41,14,[5 1],42,180,194,138,180
1,<environment.Job instance at 0x14706b6b0280>,6,20,[1 7],7,7,27,0,7
1,<environment.Job instance at 0x14706870f410>,9,3,[2 9],10,27,30,17,17
1,<environment.Job instance at 0x147066782690>,33,12,[10  1],34,193,205,159,193
1,<environment.Job instance at 0x14706b498190>,0,15,[2 8],1,4,19,3,4
1,<environment.Job instance at 0x147067b442d0>,15,27,[9 1],16,98,125,82,98
1,<environment.Job instance at 0x147067b449b0>,17,1,[8 1],18,125,126,107,109
1,<environment.Job instance at 0x147067b44e10>,21,14,[2 7],22,144,158,122,144
1,<environment.Job instance at 0x1470667462d0>,24,27,[6 1],25,170,197,145,170
1,<environment.Job instance at 0x14706b479780>,25,24,[9 1],26,202,226,176,202
1,<environment.Job instance at 0x14706547e640>,26,22,[1 7],27,208,230,181,208
1,<environment.Job instance at 0x14706567da50>,31,26,[7 1],32,226,252,194,223
1,<environment.Job instance at 0x14706547e730>,28,12,[1 7],29,230,242,201,230
1,<environment.Job instance at 0x1470655c7fa0>,35,18,[2 8],36,245,263,209,245
1,<environment.Job instance at 0x147065579780>,3,2,[8 2],4,9,11,5,9
1,<environment.Job instance at 0x147069966190>,2,28,[1 9],3,11,39,8,10
1,<environment.Job instance at 0x14706679d7d0>,10,24,[ 2 10],11,39,63,28,38
1,<environment.Job instance at 0x147065498870>,18,1,[2 8],19,63,64,44,52
1,<environment.Job instance at 0x1470654984b0>,20,14,[ 2 10],21,64,78,43,54
1,<environment.Job instance at 0x1470641308c0>,43,17,[7 2],44,331,348,287,331
1,<environment.Job instance at 0x147064130aa0>,46,16,[2 5],47,338,354,291,338
1,<environment.Job instance at 0x14706679d140>,1,3,[2 6],2,2,5,0,2
1,<environment.Job instance at 0x14706685e500>,0,12,[1 5],1,5,17,4,2
1,<environment.Job instance at 0x147064130140>,7,1,[1 5],8,8,9,0,8
1,<environment.Job instance at 0x147064134050>,10,21,[6 2],11,14,35,3,14
1,<environment.Job instance at 0x1470641345a0>,11,19,[2 5],12,24,43,12,24
1,<environment.Job instance at 0x147064134780>,16,16,[7 1],17,46,62,29,46
1,<environment.Job instance at 0x147068c7fd20>,36,2,[7 1],37,147,149,110,147
1,<environment.Job instance at 0x1470689d77d0>,35,3,[1 9],36,171,174,135,171
1,<environment.Job instance at 0x147069ed8d20>,20,1,[9 2],21,78,79,57,78
1,<environment.Job instance at 0x147069f09190>,22,1,[5 2],23,85,86,62,85
1,<environment.Job instance at 0x147069ed8960>,0,24,[ 1 10],1,41,65,40,41
1,<environment.Job instance at 0x14706b511690>,28,14,[8 2],29,174,188,145,174
1,<environment.Job instance at 0x14706b012be0>,36,17,[1 6],37,176,193,139,176
1,<environment.Job instance at 0x14706b485320>,37,24,[6 1],38,188,212,150,188
1,<environment.Job instance at 0x1470667bfa00>,5,24,[2 7],6,11,35,5,11
1,<environment.Job instance at 0x14706549e3c0>,7,18,[8 1],8,14,32,6,14
1,<environment.Job instance at 0x14706b5d55f0>,17,23,[9 2],18,101,124,83,101
1,<environment.Job instance at 0x14706b5d5aa0>,20,3,[2 8],21,124,127,103,101
1,<environment.Job instance at 0x14706b5d5500>,23,19,[10  2],24,127,146,103,123
1,<environment.Job instance at 0x14706b5d5780>,24,2,[ 1 10],25,146,148,121,127
1,<environment.Job instance at 0x14706c54b870>,30,18,[8 1],31,153,171,122,153
1,<environment.Job instance at 0x14706c54b550>,31,18,[8 2],32,171,189,139,170
1,<environment.Job instance at 0x14706c54ba50>,35,18,[7 1],36,190,208,154,190
1,<environment.Job instance at 0x14706c54e0f0>,39,27,[2 6],40,202,229,162,202
1,<environment.Job instance at 0x14706330eaf0>,1,13,[1 8],2,2,15,0,2
1,<environment.Job instance at 0x14706330eb90>,0,2,[7 1],1,9,11,8,9
1,<environment.Job instance at 0x147063209910>,10,27,[10  2],11,27,54,16,27
1,<environment.Job instance at 0x14706330d910>,14,22,[10  1],15,67,89,52,67
1,<environment.Job instance at 0x147063307c30>,18,19,[ 2 10],19,89,108,70,83
1,<environment.Job instance at 0x1470634eed20>,23,22,[8 2],24,108,130,84,108
1,<environment.Job instance at 0x1470633a9dc0>,21,1,[5 2],22,130,131,108,118
1,<environment.Job instance at 0x147063576aa0>,28,16,[10  2],29,131,147,102,118
1,<environment.Job instance at 0x14706346b9b0>,29,23,[8 2],30,147,170,117,142
1,<environment.Job instance at 0x147065a82230>,1,2,[2 5],2,47,49,45,47
1,<environment.Job instance at 0x14706d04a370>,32,2,[2 9],33,224,226,191,224
1,<environment.Job instance at 0x14706d04ae60>,36,27,[10  2],37,247,274,210,247
1,<environment.Job instance at 0x14706d04aaa0>,39,2,[5 2],40,274,276,234,261
1,<environment.Job instance at 0x14706e319280>,7,1,[5 1],8,18,19,10,18
1,<environment.Job instance at 0x14706d664050>,8,17,[2 7],9,19,36,10,19
1,<environment.Job instance at 0x147066b4a2d0>,33,21,[7 2],34,236,257,202,236
1,<environment.Job instance at 0x147066ba7140>,42,24,[2 9],43,284,308,241,284
1,<environment.Job instance at 0x14706d664be0>,6,2,[7 1],7,10,12,3,10
1,<environment.Job instance at 0x14706d823f00>,24,12,[10  2],25,132,144,107,132
1,<environment.Job instance at 0x14706d26c3c0>,2,25,[5 2],3,4,29,1,4
1,<environment.Job instance at 0x14706d078aa0>,7,2,[2 5],8,9,11,1,9
1,<environment.Job instance at 0x14706ccf3f50>,4,28,[7 1],5,34,62,29,34
1,<environment.Job instance at 0x147067698960>,0,17,[1 7],1,2,19,1,2
1,<environment.Job instance at 0x147062d24730>,3,23,[5 1],4,8,31,4,8
1,<environment.Job instance at 0x14706c390a00>,18,19,[1 6],19,121,140,102,121
1,<environment.Job instance at 0x147072a3bf00>,26,24,[ 2 10],27,195,219,168,195
1,<environment.Job instance at 0x14706c330fa0>,27,3,[2 5],28,219,222,191,198
1,<environment.Job instance at 0x14706c29fb40>,29,18,[ 1 10],30,230,248,200,230
1,<environment.Job instance at 0x14706c7d3a00>,34,2,[1 6],35,266,268,231,266
1,<environment.Job instance at 0x14706d59f4b0>,41,3,[1 7],42,325,328,283,325
