iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
1,<environment.Job instance at 0x14a75e831500>,5,25,[7 1],6,6,31,0,6
1,<environment.Job instance at 0x14a75f49db40>,3,2,[1 7],4,6,8,2,6
1,<environment.Job instance at 0x14a75e8318c0>,7,1,[7 2],8,31,32,23,10
1,<environment.Job instance at 0x14a75e831c80>,8,2,[2 5],9,14,16,5,14
1,<environment.Job instance at 0x14a75e821960>,13,27,[1 8],14,18,45,4,18
1,<environment.Job instance at 0x14a75e821320>,18,3,[1 6],19,64,67,45,64
1,<environment.Job instance at 0x14a75e821050>,12,22,[2 6],13,79,101,66,79
1,<environment.Job instance at 0x14a75e866a50>,26,20,[2 8],27,101,121,74,94
1,<environment.Job instance at 0x14a75e831640>,9,2,[5 2],10,12,14,2,12
1,<environment.Job instance at 0x14a75e757820>,10,19,[1 7],11,12,31,1,12
1,<environment.Job instance at 0x14a75dae7960>,16,21,[2 6],17,35,56,18,35
1,<environment.Job instance at 0x14a75e772370>,6,27,[10  2],7,69,96,62,69
1,<environment.Job instance at 0x14a75dae7fa0>,23,27,[9 1],24,96,123,72,96
1,<environment.Job instance at 0x14a75daed320>,28,17,[2 7],29,123,140,94,111
1,<environment.Job instance at 0x14a75e772690>,5,21,[10  1],6,11,32,5,11
1,<environment.Job instance at 0x14a75e74c9b0>,8,28,[10  1],9,48,76,39,48
1,<environment.Job instance at 0x14a75d4f4820>,20,2,[1 5],21,76,78,55,76
1,<environment.Job instance at 0x14a75d4f48c0>,21,2,[9 2],22,77,79,55,77
1,<environment.Job instance at 0x14a75d4f4960>,22,3,[2 8],23,79,82,56,79
1,<environment.Job instance at 0x14a75d4f4730>,23,21,[7 2],24,82,103,58,82
1,<environment.Job instance at 0x14a75d4f4aa0>,24,14,[7 1],25,103,117,78,90
1,<environment.Job instance at 0x14a75d4f4b40>,25,20,[2 9],26,103,123,77,97
1,<environment.Job instance at 0x14a75e83c140>,2,24,[2 9],3,4,28,1,4
1,<environment.Job instance at 0x14a75d4f73c0>,10,20,[10  2],11,28,48,17,20
1,<environment.Job instance at 0x14a75c8abfa0>,14,12,[10  1],15,48,60,33,37
1,<environment.Job instance at 0x14a75c8b05f0>,22,3,[2 8],23,60,63,37,57
1,<environment.Job instance at 0x14a75c8b0640>,23,28,[2 5],24,72,100,48,72
1,<environment.Job instance at 0x14a75c8b0af0>,28,28,[7 2],29,88,116,59,88
1,<environment.Job instance at 0x14a75dae7e10>,4,12,[10  2],5,8,20,3,8
1,<environment.Job instance at 0x14a75bd4f960>,17,27,[1 9],18,96,123,78,96
1,<environment.Job instance at 0x14a75bd4f410>,19,3,[1 7],20,123,126,103,103
1,<environment.Job instance at 0x14a75bd4ff00>,4,28,[7 1],5,5,33,0,5
1,<environment.Job instance at 0x14a75bcdd280>,10,20,[6 1],11,33,53,22,25
1,<environment.Job instance at 0x14a75bd94550>,14,26,[2 9],15,46,72,31,46
1,<environment.Job instance at 0x14a75b5a6dc0>,9,14,[1 6],10,25,39,15,25
1,<environment.Job instance at 0x14a75b5a6780>,17,17,[6 2],18,54,71,36,54
1,<environment.Job instance at 0x14a75b5a61e0>,18,19,[1 5],19,55,74,36,55
1,<environment.Job instance at 0x14a75b5a6c30>,21,24,[2 5],22,74,98,52,74
1,<environment.Job instance at 0x14a75b641d20>,8,19,[1 6],9,11,30,2,11
1,<environment.Job instance at 0x14a75b6418c0>,10,28,[7 1],11,13,41,2,13
1,<environment.Job instance at 0x14a75f499690>,13,20,[1 6],14,30,50,16,26
1,<environment.Job instance at 0x14a75df8de60>,18,25,[5 2],19,41,66,22,40
1,<environment.Job instance at 0x14a75df8da00>,25,15,[6 1],26,77,92,51,77
1,<environment.Job instance at 0x14a75b602c30>,1,3,[1 7],2,2,5,0,2
1,<environment.Job instance at 0x14a75b5e1730>,5,20,[9 1],6,6,26,0,6
1,<environment.Job instance at 0x14a75df0dc80>,6,21,[1 7],7,21,42,14,21
1,<environment.Job instance at 0x14a75b641370>,15,16,[10  1],16,43,59,27,43
1,<environment.Job instance at 0x14a75e90de60>,19,12,[1 9],20,70,82,50,70
1,<environment.Job instance at 0x14a75ee830a0>,20,21,[6 2],21,82,103,61,79
1,<environment.Job instance at 0x14a75ee83230>,21,17,[2 6],22,82,99,60,80
1,<environment.Job instance at 0x14a75ee44c80>,25,19,[10  2],26,103,122,77,102
1,<environment.Job instance at 0x14a75e90dfa0>,1,28,[9 1],2,12,40,10,12
