Heuristic,Metric,Value,Epoch
SJF,MeanSlowdown,1.8,1
SJF,MaxRew,-3.176747653769809,1
SJF,MeanRew_upper,-5.286668385360496,1
SJF,MeanSlowdown,1.8,2
SJF,MaxRew,-3.176747653769809,2
SJF,MeanRew_upper,-5.286668385360496,2
SJF,MeanSlowdown,1.8,3
SJF,MaxRew,-3.176747653769809,3
SJF,MeanRew_upper,-5.286668385360496,3
SJF,MeanSlowdown,1.8,4
SJF,MaxRew,-3.176747653769809,4
SJF,MeanRew_upper,-5.286668385360496,4
SJF,MeanSlowdown,1.8,5
SJF,MaxRew,-3.176747653769809,5
SJF,MeanRew_upper,-5.286668385360496,5
SJF,MeanSlowdown,1.8,6
SJF,MaxRew,-3.176747653769809,6
SJF,MeanRew_upper,-5.286668385360496,6
SJF,MeanSlowdown,1.8,7
SJF,MaxRew,-3.176747653769809,7
SJF,MeanRew_upper,-5.286668385360496,7
SJF,MeanSlowdown,1.8,8
SJF,MaxRew,-3.176747653769809,8
SJF,MeanRew_upper,-5.286668385360496,8
SJF,MeanSlowdown,1.8,9
SJF,MaxRew,-3.176747653769809,9
SJF,MeanRew_upper,-5.286668385360496,9
SJF,MeanSlowdown,1.8,10
SJF,MaxRew,-3.176747653769809,10
SJF,MeanRew_upper,-5.286668385360496,10
SJF,MeanSlowdown,1.8,11
SJF,MaxRew,-3.176747653769809,11
SJF,MeanRew_upper,-5.286668385360496,11
SJF,MeanSlowdown,1.8,12
SJF,MaxRew,-3.176747653769809,12
SJF,MeanRew_upper,-5.286668385360496,12
SJF,MeanSlowdown,1.8,13
SJF,MaxRew,-3.176747653769809,13
SJF,MeanRew_upper,-5.286668385360496,13
SJF,MeanSlowdown,1.8,14
SJF,MaxRew,-3.176747653769809,14
SJF,MeanRew_upper,-5.286668385360496,14
SJF,MeanSlowdown,1.8,15
SJF,MaxRew,-3.176747653769809,15
SJF,MeanRew_upper,-5.286668385360496,15
SJF,MeanSlowdown,1.8,16
SJF,MaxRew,-3.176747653769809,16
SJF,MeanRew_upper,-5.286668385360496,16
SJF,MeanSlowdown,1.8,17
SJF,MaxRew,-3.176747653769809,17
SJF,MeanRew_upper,-5.286668385360496,17
SJF,MeanSlowdown,1.8,18
SJF,MaxRew,-3.176747653769809,18
SJF,MeanRew_upper,-5.286668385360496,18
SJF,MeanSlowdown,1.8,19
SJF,MaxRew,-3.176747653769809,19
SJF,MeanRew_upper,-5.286668385360496,19
SJF,MeanSlowdown,1.8,20
SJF,MaxRew,-3.176747653769809,20
SJF,MeanRew_upper,-5.286668385360496,20
SJF,MeanSlowdown,1.8,21
SJF,MaxRew,-3.176747653769809,21
SJF,MeanRew_upper,-5.286668385360496,21
SJF,MeanSlowdown,1.8,22
SJF,MaxRew,-3.176747653769809,22
SJF,MeanRew_upper,-5.286668385360496,22
SJF,MeanSlowdown,1.8,23
SJF,MaxRew,-3.176747653769809,23
SJF,MeanRew_upper,-5.286668385360496,23
SJF,MeanSlowdown,1.8,24
SJF,MaxRew,-3.176747653769809,24
SJF,MeanRew_upper,-5.286668385360496,24
SJF,MeanSlowdown,1.8,25
SJF,MaxRew,-3.176747653769809,25
SJF,MeanRew_upper,-5.286668385360496,25
SJF,MeanSlowdown,1.8,26
SJF,MaxRew,-3.176747653769809,26
SJF,MeanRew_upper,-5.286668385360496,26
SJF,MeanSlowdown,1.8,27
SJF,MaxRew,-3.176747653769809,27
SJF,MeanRew_upper,-5.286668385360496,27
SJF,MeanSlowdown,1.8,28
SJF,MaxRew,-3.176747653769809,28
SJF,MeanRew_upper,-5.286668385360496,28
SJF,MeanSlowdown,1.8,29
SJF,MaxRew,-3.176747653769809,29
SJF,MeanRew_upper,-5.286668385360496,29
SJF,MeanSlowdown,1.8,30
SJF,MaxRew,-3.176747653769809,30
SJF,MeanRew_upper,-5.286668385360496,30
SJF,MeanSlowdown,1.8,31
SJF,MaxRew,-3.176747653769809,31
SJF,MeanRew_upper,-5.286668385360496,31
SJF,MeanSlowdown,1.8,32
SJF,MaxRew,-3.176747653769809,32
SJF,MeanRew_upper,-5.286668385360496,32
SJF,MeanSlowdown,1.8,33
SJF,MaxRew,-3.176747653769809,33
SJF,MeanRew_upper,-5.286668385360496,33
SJF,MeanSlowdown,1.8,34
